"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Augusta-Aiken, GA-SC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","157.0","73.0","84.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","21.0","12.0","9.0","-"
"25-34 years","33.0","15.0","18.0","-"
"35-44 years","46.0","22.0","24.0","-"
"45-54 years","38.0","18.0","20.0","-"
"55-64 years","14.0","D","D","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","32.0","22.0","10.0","-"
"Married","113.0","44.0","69.0","-"
"Other","10.0","5.0","5.0","-"
"Unknown","2.0","2.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","10.0","D","D","-"
"Professional and technical","13.0","9.0","4.0","-"
"Sales","D","-","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","11.0","6.0","5.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","13.0","8.0","5.0","-"
"Military","11.0","D","D","-"
"No occupation","21.0","6.0","15.0","-"
"Unknown","73.0","30.0","43.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","D","D","D","-"
"Bosnia and Herzegovina","3.0","D","D","-"
"Canada","4.0","D","D","-"
"China","6.0","D","D","-"
"Costa Rica","4.0","D","D","-"
"Egypt","D","D","D","-"
"Germany","4.0","D","D","-"
"Ghana","6.0","3.0","3.0","-"
"Guatemala","D","D","D","-"
"Haiti","3.0","D","D","-"
"India","16.0","5.0","11.0","-"
"Jamaica","3.0","D","D","-"
"Japan","3.0","-","3.0","-"
"Korea","18.0","9.0","9.0","-"
"Mexico","9.0","D","D","-"
"Panama","3.0","-","3.0","-"
"Philippines","6.0","D","D","-"
"South Africa","5.0","D","D","-"
"United Kingdom","10.0","5.0","5.0","-"
"Vietnam","14.0","6.0","8.0","-"
"Other","34.0","18.0","16.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
