"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Providence-Fall River-Warwick, RI-MA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2467.0","1068.0","1399.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","306.0","133.0","173.0","-"
"25-34 years","680.0","257.0","423.0","-"
"35-44 years","641.0","296.0","345.0","-"
"45-54 years","372.0","161.0","211.0","-"
"55-64 years","302.0","148.0","154.0","-"
"65 years and over","166.0","73.0","93.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","611.0","276.0","335.0","-"
"Married","1522.0","680.0","842.0","-"
"Other","333.0","111.0","222.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","110.0","60.0","50.0","-"
"Professional and technical","141.0","60.0","81.0","-"
"Sales","59.0","23.0","36.0","-"
"Administrative support","71.0","17.0","54.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","369.0","208.0","161.0","-"
"Precision production, craft, repair","61.0","55.0","6.0","-"
"Service","199.0","62.0","137.0","-"
"Military","9.0","5.0","4.0","-"
"No occupation","352.0","144.0","208.0","-"
"Unknown","1096.0","434.0","662.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Brazil","30.0","12.0","18.0","-"
"Cambodia","121.0","51.0","70.0","-"
"Canada","30.0","14.0","16.0","-"
"Cape Verde","134.0","49.0","85.0","-"
"China","60.0","16.0","44.0","-"
"Colombia","119.0","55.0","64.0","-"
"Dominican Republic","437.0","200.0","237.0","-"
"Ghana","31.0","20.0","11.0","-"
"Guatemala","106.0","42.0","64.0","-"
"Haiti","54.0","16.0","38.0","-"
"India","54.0","24.0","30.0","-"
"Laos","53.0","19.0","34.0","-"
"Liberia","59.0","20.0","39.0","-"
"Nigeria","60.0","23.0","37.0","-"
"Philippines","31.0","6.0","25.0","-"
"Poland","42.0","20.0","22.0","-"
"Portugal","381.0","164.0","217.0","-"
"Thailand","27.0","12.0","15.0","-"
"Ukraine","31.0","15.0","16.0","-"
"Vietnam","26.0","8.0","18.0","-"
"Other","572.0","277.0","295.0","-"
"Unknown","9.0","5.0","4.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
