"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Bangor, ME","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","32.0","13.0","19.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","-","D","-"
"25-34 years","6.0","D","D","-"
"35-44 years","15.0","8.0","7.0","-"
"45-54 years","6.0","D","D","-"
"55-64 years","D","-","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","-","D","-"
"Married","27.0","13.0","14.0","-"
"Other","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","-","D","-"
"Professional and technical","7.0","D","D","-"
"Sales","-","-","-","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","D","D","-","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","D","D","-"
"Military","-","-","-","-"
"No occupation","3.0","-","3.0","-"
"Unknown","16.0","5.0","11.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","D","-","D","-"
"Bulgaria","D","D","-","-"
"Cambodia","D","-","D","-"
"Canada","13.0","D","D","-"
"China","D","D","D","-"
"Colombia","D","-","D","-"
"India","4.0","D","D","-"
"Jordan","D","D","-","-"
"Korea","D","-","D","-"
"Laos","D","-","D","-"
"New Zealand","D","-","D","-"
"Pakistan","D","D","-","-"
"Peru","D","D","-","-"
"Philippines","D","-","D","-"
"Russia","D","-","D","-"
"Vietnam","D","-","D","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
