"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: State College, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","80.0","39.0","41.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","10.0","D","D","-"
"25-34 years","14.0","7.0","7.0","-"
"35-44 years","23.0","7.0","16.0","-"
"45-54 years","20.0","12.0","8.0","-"
"55-64 years","9.0","D","D","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","7.0","-"
"Married","64.0","30.0","34.0","-"
"Other","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","12.0","8.0","4.0","-"
"Sales","D","-","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","D","-","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","-","D","-"
"Military","-","-","-","-"
"No occupation","21.0","11.0","10.0","-"
"Unknown","38.0","17.0","21.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bulgaria","D","-","D","-"
"Cambodia","D","D","-","-"
"Canada","D","-","D","-"
"China","10.0","5.0","5.0","-"
"Egypt","3.0","D","D","-"
"Finland","D","-","D","-"
"France","D","-","D","-"
"Greece","D","D","-","-"
"India","10.0","5.0","5.0","-"
"Iran","D","D","D","-"
"Kazakhstan","6.0","D","D","-"
"Korea","D","D","D","-"
"Nigeria","D","D","D","-"
"Poland","6.0","D","D","-"
"Romania","3.0","D","D","-"
"Russia","3.0","D","D","-"
"Soviet Union (former)","D","D","D","-"
"Taiwan","4.0","D","D","-"
"Ukraine","9.0","6.0","3.0","-"
"Uruguay","D","D","D","-"
"Other","10.0","5.0","5.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
