"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Toledo, OH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","403.0","204.0","199.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","26.0","19.0","7.0","-"
"25-34 years","108.0","40.0","68.0","-"
"35-44 years","135.0","72.0","63.0","-"
"45-54 years","80.0","46.0","34.0","-"
"55-64 years","31.0","19.0","12.0","-"
"65 years and over","23.0","8.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","66.0","40.0","26.0","-"
"Married","305.0","148.0","157.0","-"
"Other","32.0","16.0","16.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","14.0","8.0","6.0","-"
"Professional and technical","75.0","46.0","29.0","-"
"Sales","7.0","D","D","-"
"Administrative support","6.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","15.0","10.0","5.0","-"
"Precision production, craft, repair","D","-","D","-"
"Service","29.0","13.0","16.0","-"
"Military","D","D","D","-"
"No occupation","106.0","49.0","57.0","-"
"Unknown","148.0","72.0","76.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Canada","17.0","11.0","6.0","-"
"China","32.0","17.0","15.0","-"
"Egypt","18.0","10.0","8.0","-"
"India","49.0","28.0","21.0","-"
"Iran","8.0","D","D","-"
"Jamaica","13.0","3.0","10.0","-"
"Jordan","11.0","6.0","5.0","-"
"Korea","9.0","5.0","4.0","-"
"Kuwait","6.0","D","D","-"
"Lebanon","24.0","12.0","12.0","-"
"Mexico","19.0","11.0","8.0","-"
"Nigeria","13.0","9.0","4.0","-"
"Pakistan","17.0","9.0","8.0","-"
"Philippines","17.0","6.0","11.0","-"
"Poland","7.0","D","D","-"
"Syria","11.0","5.0","6.0","-"
"Taiwan","6.0","D","D","-"
"Ukraine","7.0","3.0","4.0","-"
"United Kingdom","12.0","4.0","8.0","-"
"Vietnam","11.0","4.0","7.0","-"
"Other","93.0","48.0","45.0","-"
"Unknown","3.0","1.0","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
