"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Ventura, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2087.0","983.0","1104.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","236.0","106.0","130.0","-"
"25-34 years","547.0","250.0","297.0","-"
"35-44 years","622.0","302.0","320.0","-"
"45-54 years","316.0","155.0","161.0","-"
"55-64 years","200.0","97.0","103.0","-"
"65 years and over","166.0","73.0","93.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","408.0","227.0","181.0","-"
"Married","1481.0","687.0","794.0","-"
"Other","191.0","64.0","127.0","-"
"Unknown","7.0","5.0","2.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","92.0","51.0","41.0","-"
"Professional and technical","176.0","90.0","86.0","-"
"Sales","99.0","42.0","57.0","-"
"Administrative support","52.0","13.0","39.0","-"
"Farming, forestry, fisheries","8.0","8.0","-","-"
"Operators, fabricators, laborers","142.0","88.0","54.0","-"
"Precision production, craft, repair","40.0","35.0","5.0","-"
"Service","101.0","39.0","62.0","-"
"Military","48.0","41.0","7.0","-"
"No occupation","340.0","97.0","243.0","-"
"Unknown","989.0","479.0","510.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Cambodia","14.0","D","D","-"
"Canada","34.0","15.0","19.0","-"
"China","71.0","24.0","47.0","-"
"Colombia","13.0","6.0","7.0","-"
"Egypt","12.0","9.0","3.0","-"
"El Salvador","34.0","8.0","26.0","-"
"Germany","23.0","10.0","13.0","-"
"Guatemala","26.0","11.0","15.0","-"
"India","115.0","56.0","59.0","-"
"Iran","99.0","47.0","52.0","-"
"Japan","14.0","6.0","8.0","-"
"Korea","66.0","32.0","34.0","-"
"Mexico","853.0","441.0","412.0","-"
"Peru","22.0","7.0","15.0","-"
"Philippines","226.0","115.0","111.0","-"
"Syria","28.0","7.0","21.0","-"
"Taiwan","33.0","13.0","20.0","-"
"Thailand","18.0","D","D","-"
"United Kingdom","54.0","28.0","26.0","-"
"Vietnam","50.0","19.0","31.0","-"
"Other","280.0","120.0","160.0","-"
"Unknown","2.0","2.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
