"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Wilmington-Newark, DE-MD","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","794.0","379.0","415.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","63.0","31.0","32.0","-"
"25-34 years","205.0","100.0","105.0","-"
"35-44 years","267.0","133.0","134.0","-"
"45-54 years","141.0","63.0","78.0","-"
"55-64 years","70.0","30.0","40.0","-"
"65 years and over","48.0","22.0","26.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","142.0","80.0","62.0","-"
"Married","570.0","264.0","306.0","-"
"Other","77.0","31.0","46.0","-"
"Unknown","5.0","4.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","67.0","36.0","31.0","-"
"Professional and technical","84.0","41.0","43.0","-"
"Sales","32.0","13.0","19.0","-"
"Administrative support","18.0","3.0","15.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","29.0","22.0","7.0","-"
"Precision production, craft, repair","10.0","10.0","-","-"
"Service","42.0","17.0","25.0","-"
"Military","-","-","-","-"
"No occupation","136.0","42.0","94.0","-"
"Unknown","376.0","195.0","181.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","12.0","6.0","6.0","-"
"Canada","15.0","3.0","12.0","-"
"China","73.0","30.0","43.0","-"
"Colombia","13.0","5.0","8.0","-"
"Dominican Republic","14.0","6.0","8.0","-"
"Egypt","31.0","19.0","12.0","-"
"Guyana","15.0","6.0","9.0","-"
"India","114.0","53.0","61.0","-"
"Jamaica","43.0","18.0","25.0","-"
"Kenya","16.0","10.0","6.0","-"
"Korea","12.0","4.0","8.0","-"
"Mexico","39.0","23.0","16.0","-"
"Nigeria","22.0","9.0","13.0","-"
"Pakistan","29.0","19.0","10.0","-"
"Philippines","22.0","8.0","14.0","-"
"Poland","17.0","8.0","9.0","-"
"Russia","20.0","8.0","12.0","-"
"Trinidad and Tobago","12.0","3.0","9.0","-"
"United Kingdom","23.0","14.0","9.0","-"
"Vietnam","20.0","12.0","8.0","-"
"Other","232.0","115.0","117.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
