"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: York, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","157.0","72.0","85.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","22.0","10.0","12.0","-"
"25-34 years","38.0","14.0","24.0","-"
"35-44 years","48.0","27.0","21.0","-"
"45-54 years","23.0","9.0","14.0","-"
"55-64 years","22.0","12.0","10.0","-"
"65 years and over","4.0","-","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","27.0","18.0","9.0","-"
"Married","117.0","48.0","69.0","-"
"Other","9.0","3.0","6.0","-"
"Unknown","4.0","3.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","12.0","9.0","3.0","-"
"Professional and technical","11.0","8.0","3.0","-"
"Sales","D","D","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","16.0","6.0","10.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","10.0","D","D","-"
"Military","3.0","3.0","-","-"
"No occupation","20.0","4.0","16.0","-"
"Unknown","80.0","37.0","43.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","5.0","D","D","-"
"Bosnia and Herzegovina","4.0","D","D","-"
"Brazil","D","D","D","-"
"Canada","5.0","D","D","-"
"China","12.0","7.0","5.0","-"
"Colombia","5.0","D","D","-"
"Dominican Republic","10.0","D","D","-"
"Ecuador","3.0","D","D","-"
"Egypt","4.0","D","D","-"
"Ethiopia","4.0","D","D","-"
"Germany","4.0","-","4.0","-"
"Ghana","5.0","D","D","-"
"India","15.0","8.0","7.0","-"
"Jamaica","4.0","D","D","-"
"Kenya","D","D","D","-"
"Mexico","9.0","4.0","5.0","-"
"Russia","4.0","D","D","-"
"Ukraine","3.0","D","D","-"
"United Kingdom","11.0","4.0","7.0","-"
"Vietnam","17.0","7.0","10.0","-"
"Other","28.0","15.0","13.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
