"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Boise City, ID","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","472.0","230.0","242.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","72.0","40.0","32.0","-"
"25-34 years","159.0","72.0","87.0","-"
"35-44 years","125.0","59.0","66.0","-"
"45-54 years","57.0","32.0","25.0","-"
"55-64 years","31.0","16.0","15.0","-"
"65 years and over","28.0","11.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","102.0","68.0","34.0","-"
"Married","329.0","149.0","180.0","-"
"Other","41.0","13.0","28.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","27.0","11.0","16.0","-"
"Professional and technical","38.0","25.0","13.0","-"
"Sales","17.0","D","D","-"
"Administrative support","12.0","D","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","51.0","31.0","20.0","-"
"Precision production, craft, repair","44.0","29.0","15.0","-"
"Service","65.0","28.0","37.0","-"
"Military","D","D","-","-"
"No occupation","99.0","38.0","61.0","-"
"Unknown","112.0","55.0","57.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","3.0","D","D","-"
"Bosnia and Herzegovina","129.0","67.0","62.0","-"
"Canada","19.0","11.0","8.0","-"
"China","11.0","D","D","-"
"Croatia","8.0","4.0","4.0","-"
"Germany","4.0","D","D","-"
"Ghana","4.0","D","D","-"
"India","12.0","5.0","7.0","-"
"Korea","6.0","D","D","-"
"Laos","7.0","D","D","-"
"Mexico","73.0","36.0","37.0","-"
"Philippines","13.0","4.0","9.0","-"
"Poland","3.0","D","D","-"
"Romania","11.0","D","D","-"
"Serbia and Montenegro","19.0","7.0","12.0","-"
"Tanzania","4.0","D","D","-"
"Thailand","4.0","-","4.0","-"
"Ukraine","17.0","8.0","9.0","-"
"United Kingdom","5.0","D","D","-"
"Vietnam","44.0","25.0","19.0","-"
"Other","76.0","32.0","44.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
