"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Des Moines, IA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","337.0","165.0","172.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","31.0","14.0","17.0","-"
"25-34 years","108.0","53.0","55.0","-"
"35-44 years","105.0","54.0","51.0","-"
"45-54 years","42.0","19.0","23.0","-"
"55-64 years","31.0","14.0","17.0","-"
"65 years and over","20.0","11.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","67.0","40.0","27.0","-"
"Married","232.0","115.0","117.0","-"
"Other","36.0","9.0","27.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","8.0","D","-"
"Professional and technical","22.0","11.0","11.0","-"
"Sales","29.0","10.0","19.0","-"
"Administrative support","18.0","D","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","38.0","32.0","6.0","-"
"Precision production, craft, repair","19.0","14.0","5.0","-"
"Service","30.0","14.0","16.0","-"
"Military","-","-","-","-"
"No occupation","57.0","23.0","34.0","-"
"Unknown","109.0","49.0","60.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","118.0","57.0","61.0","-"
"Cambodia","3.0","D","D","-"
"Canada","5.0","D","D","-"
"China","5.0","D","D","-"
"Croatia","5.0","D","D","-"
"El Salvador","4.0","D","D","-"
"Guatemala","3.0","D","D","-"
"India","7.0","D","D","-"
"Iran","4.0","D","D","-"
"Kenya","4.0","D","D","-"
"Laos","16.0","9.0","7.0","-"
"Mexico","41.0","22.0","19.0","-"
"Nigeria","6.0","D","D","-"
"Philippines","7.0","D","D","-"
"Serbia and Montenegro","11.0","8.0","3.0","-"
"Somalia","5.0","D","D","-"
"Soviet Union (former)","3.0","D","D","-"
"Sudan","4.0","4.0","-","-"
"Thailand","3.0","-","3.0","-"
"Vietnam","44.0","25.0","19.0","-"
"Other","39.0","12.0","27.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
