"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Greenville-Spartanburg-Anderson, SC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","402.0","180.0","222.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","33.0","14.0","19.0","-"
"25-34 years","100.0","40.0","60.0","-"
"35-44 years","117.0","57.0","60.0","-"
"45-54 years","83.0","41.0","42.0","-"
"55-64 years","46.0","17.0","29.0","-"
"65 years and over","23.0","11.0","12.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","71.0","36.0","35.0","-"
"Married","291.0","132.0","159.0","-"
"Other","39.0","11.0","28.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","35.0","20.0","15.0","-"
"Professional and technical","71.0","43.0","28.0","-"
"Sales","25.0","7.0","18.0","-"
"Administrative support","25.0","5.0","20.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","39.0","D","D","-"
"Precision production, craft, repair","12.0","D","D","-"
"Service","30.0","9.0","21.0","-"
"Military","-","-","-","-"
"No occupation","78.0","20.0","58.0","-"
"Unknown","87.0","41.0","46.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Cambodia","10.0","3.0","7.0","-"
"Canada","15.0","7.0","8.0","-"
"China","22.0","9.0","13.0","-"
"Colombia","35.0","10.0","25.0","-"
"Egypt","5.0","D","D","-"
"Germany","13.0","5.0","8.0","-"
"Hong Kong","10.0","7.0","3.0","-"
"India","45.0","25.0","20.0","-"
"Iran","13.0","6.0","7.0","-"
"Jordan","8.0","D","D","-"
"Korea","12.0","3.0","9.0","-"
"Laos","6.0","3.0","3.0","-"
"Mexico","24.0","10.0","14.0","-"
"Nigeria","6.0","D","D","-"
"Philippines","13.0","D","D","-"
"Poland","6.0","D","D","-"
"Romania","6.0","3.0","3.0","-"
"Ukraine","6.0","D","D","-"
"United Kingdom","8.0","D","D","-"
"Vietnam","32.0","18.0","14.0","-"
"Other","107.0","43.0","64.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
