"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Harrisburg-Lebanon-Carlisle, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","608.0","285.0","323.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","65.0","24.0","41.0","-"
"25-34 years","170.0","69.0","101.0","-"
"35-44 years","203.0","110.0","93.0","-"
"45-54 years","93.0","45.0","48.0","-"
"55-64 years","52.0","26.0","26.0","-"
"65 years and over","25.0","11.0","14.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","125.0","68.0","57.0","-"
"Married","439.0","206.0","233.0","-"
"Other","44.0","11.0","33.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","26.0","16.0","10.0","-"
"Professional and technical","34.0","18.0","16.0","-"
"Sales","20.0","D","D","-"
"Administrative support","14.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","69.0","43.0","26.0","-"
"Precision production, craft, repair","8.0","8.0","-","-"
"Service","29.0","13.0","16.0","-"
"Military","3.0","D","D","-"
"No occupation","75.0","22.0","53.0","-"
"Unknown","330.0","147.0","183.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","86.0","45.0","41.0","-"
"Cambodia","16.0","6.0","10.0","-"
"Canada","10.0","D","D","-"
"China","12.0","6.0","6.0","-"
"Dominican Republic","16.0","6.0","10.0","-"
"Ecuador","9.0","3.0","6.0","-"
"Egypt","21.0","13.0","8.0","-"
"Eritrea","12.0","4.0","8.0","-"
"India","71.0","33.0","38.0","-"
"Iran","7.0","3.0","4.0","-"
"Iraq","7.0","D","D","-"
"Jamaica","11.0","5.0","6.0","-"
"Kenya","7.0","3.0","4.0","-"
"Korea","8.0","3.0","5.0","-"
"Mexico","11.0","8.0","3.0","-"
"Morocco","25.0","21.0","4.0","-"
"Pakistan","18.0","11.0","7.0","-"
"Serbia and Montenegro","16.0","8.0","8.0","-"
"Ukraine","14.0","5.0","9.0","-"
"Vietnam","61.0","22.0","39.0","-"
"Other","170.0","75.0","95.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
