"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Lafayette, LA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","100.0","50.0","50.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","8.0","3.0","5.0","-"
"25-34 years","20.0","11.0","9.0","-"
"35-44 years","32.0","13.0","19.0","-"
"45-54 years","21.0","9.0","12.0","-"
"55-64 years","11.0","D","D","-"
"65 years and over","8.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","21.0","11.0","10.0","-"
"Married","70.0","34.0","36.0","-"
"Other","9.0","5.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","4.0","D","D","-"
"Professional and technical","10.0","6.0","4.0","-"
"Sales","D","-","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","3.0","-","3.0","-"
"Precision production, craft, repair","-","-","-","-"
"Service","D","-","D","-"
"Military","D","D","-","-"
"No occupation","14.0","4.0","10.0","-"
"Unknown","64.0","36.0","28.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Angola","D","D","-","-"
"Bolivia","D","D","D","-"
"Bosnia and Herzegovina","5.0","D","D","-"
"Canada","3.0","D","D","-"
"China","3.0","D","D","-"
"Cuba","6.0","3.0","3.0","-"
"Germany","3.0","D","D","-"
"Honduras","D","D","-","-"
"India","8.0","4.0","4.0","-"
"Iran","3.0","D","D","-"
"Jordan","D","D","D","-"
"Korea","4.0","D","D","-"
"Laos","12.0","7.0","5.0","-"
"Mexico","6.0","3.0","3.0","-"
"Nigeria","D","D","-","-"
"Peru","D","D","D","-"
"Philippines","D","D","D","-"
"Soviet Union (former)","D","D","D","-"
"Venezuela","D","D","D","-"
"Vietnam","12.0","4.0","8.0","-"
"Other","17.0","7.0","10.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
