"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Lawrence, KS","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","62.0","33.0","29.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","10.0","D","D","-"
"25-34 years","19.0","8.0","11.0","-"
"35-44 years","14.0","9.0","5.0","-"
"45-54 years","10.0","4.0","6.0","-"
"55-64 years","5.0","D","D","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","11.0","4.0","-"
"Married","40.0","19.0","21.0","-"
"Other","7.0","3.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","-","D","-"
"Professional and technical","8.0","5.0","3.0","-"
"Sales","D","D","-","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","3.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","4.0","D","D","-"
"Military","-","-","-","-"
"No occupation","16.0","9.0","7.0","-"
"Unknown","26.0","14.0","12.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","D","-","D","-"
"Bulgaria","D","D","-","-"
"Canada","3.0","3.0","-","-"
"China","4.0","D","D","-"
"Cuba","D","D","-","-"
"Dominican Republic","D","D","-","-"
"Germany","D","-","D","-"
"Ghana","D","D","D","-"
"Honduras","D","D","-","-"
"India","6.0","D","D","-"
"Iran","7.0","3.0","4.0","-"
"Italy","D","-","D","-"
"Jordan","4.0","D","D","-"
"Korea","D","D","D","-"
"Laos","3.0","D","D","-"
"Mexico","4.0","D","D","-"
"Nigeria","D","D","-","-"
"Philippines","D","D","D","-"
"Ukraine","D","D","D","-"
"Vietnam","4.0","D","D","-"
"Other","7.0","3.0","4.0","-"
"Unknown","3.0","-","3.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
