"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Lawrence, MA-NH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1819.0","715.0","1104.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","196.0","86.0","110.0","-"
"25-34 years","435.0","150.0","285.0","-"
"35-44 years","503.0","222.0","281.0","-"
"45-54 years","311.0","112.0","199.0","-"
"55-64 years","223.0","87.0","136.0","-"
"65 years and over","151.0","58.0","93.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","428.0","182.0","246.0","-"
"Married","1069.0","453.0","616.0","-"
"Other","322.0","80.0","242.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","24.0","13.0","11.0","-"
"Professional and technical","38.0","16.0","22.0","-"
"Sales","7.0","D","D","-"
"Administrative support","7.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","114.0","61.0","53.0","-"
"Precision production, craft, repair","13.0","D","D","-"
"Service","26.0","8.0","18.0","-"
"Military","3.0","3.0","-","-"
"No occupation","154.0","61.0","93.0","-"
"Unknown","1433.0","537.0","896.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","9.0","D","D","-"
"Cambodia","36.0","12.0","24.0","-"
"Canada","24.0","12.0","12.0","-"
"China","25.0","8.0","17.0","-"
"Colombia","25.0","6.0","19.0","-"
"Dominican Republic","1194.0","460.0","734.0","-"
"Ecuador","27.0","10.0","17.0","-"
"Guatemala","18.0","6.0","12.0","-"
"Haiti","18.0","8.0","10.0","-"
"India","77.0","35.0","42.0","-"
"Iran","9.0","4.0","5.0","-"
"Korea","17.0","7.0","10.0","-"
"Lebanon","34.0","14.0","20.0","-"
"Morocco","12.0","7.0","5.0","-"
"Philippines","10.0","D","D","-"
"Portugal","11.0","8.0","3.0","-"
"Russia","10.0","D","D","-"
"Soviet Union (former)","13.0","6.0","7.0","-"
"United Kingdom","18.0","11.0","7.0","-"
"Vietnam","55.0","18.0","37.0","-"
"Other","175.0","76.0","99.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
