"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Memphis, TN-AR-MS","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","734.0","346.0","388.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","84.0","37.0","47.0","-"
"25-34 years","215.0","107.0","108.0","-"
"35-44 years","228.0","108.0","120.0","-"
"45-54 years","117.0","53.0","64.0","-"
"55-64 years","49.0","24.0","25.0","-"
"65 years and over","41.0","17.0","24.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","173.0","100.0","73.0","-"
"Married","487.0","217.0","270.0","-"
"Other","70.0","27.0","43.0","-"
"Unknown","4.0","2.0","2.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","29.0","19.0","10.0","-"
"Professional and technical","47.0","19.0","28.0","-"
"Sales","15.0","D","D","-"
"Administrative support","13.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","37.0","26.0","11.0","-"
"Precision production, craft, repair","8.0","D","D","-"
"Service","15.0","D","D","-"
"Military","7.0","7.0","-","-"
"No occupation","101.0","31.0","70.0","-"
"Unknown","462.0","222.0","240.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","10.0","7.0","3.0","-"
"Canada","27.0","14.0","13.0","-"
"China","49.0","20.0","29.0","-"
"Colombia","9.0","3.0","6.0","-"
"Egypt","10.0","3.0","7.0","-"
"Ethiopia","9.0","4.0","5.0","-"
"India","57.0","33.0","24.0","-"
"Iran","11.0","D","D","-"
"Iraq","17.0","10.0","7.0","-"
"Jordan","17.0","13.0","4.0","-"
"Korea","19.0","11.0","8.0","-"
"Laos","9.0","D","D","-"
"Lebanon","13.0","5.0","8.0","-"
"Mexico","66.0","36.0","30.0","-"
"Nigeria","12.0","8.0","4.0","-"
"Philippines","42.0","11.0","31.0","-"
"Taiwan","13.0","4.0","9.0","-"
"United Kingdom","11.0","5.0","6.0","-"
"Venezuela","10.0","D","D","-"
"Vietnam","102.0","50.0","52.0","-"
"Other","218.0","102.0","116.0","-"
"Unknown","3.0","1.0","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
