"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Monmouth-Ocean, NJ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1608.0","740.0","868.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","149.0","78.0","71.0","-"
"25-34 years","381.0","155.0","226.0","-"
"35-44 years","544.0","267.0","277.0","-"
"45-54 years","288.0","139.0","149.0","-"
"55-64 years","152.0","65.0","87.0","-"
"65 years and over","94.0","36.0","58.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","312.0","171.0","141.0","-"
"Married","1135.0","515.0","620.0","-"
"Other","160.0","54.0","106.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","97.0","57.0","40.0","-"
"Professional and technical","107.0","46.0","61.0","-"
"Sales","30.0","D","D","-"
"Administrative support","27.0","D","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","70.0","52.0","18.0","-"
"Precision production, craft, repair","17.0","D","D","-"
"Service","48.0","19.0","29.0","-"
"Military","D","D","-","-"
"No occupation","177.0","56.0","121.0","-"
"Unknown","1026.0","465.0","561.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Brazil","35.0","11.0","24.0","-"
"China","52.0","20.0","32.0","-"
"Colombia","34.0","17.0","17.0","-"
"Dominican Republic","26.0","10.0","16.0","-"
"Ecuador","26.0","16.0","10.0","-"
"Egypt","34.0","15.0","19.0","-"
"Haiti","65.0","31.0","34.0","-"
"India","191.0","93.0","98.0","-"
"Italy","30.0","20.0","10.0","-"
"Jamaica","57.0","23.0","34.0","-"
"Korea","28.0","13.0","15.0","-"
"Mexico","38.0","25.0","13.0","-"
"Pakistan","27.0","16.0","11.0","-"
"Philippines","115.0","46.0","69.0","-"
"Poland","57.0","23.0","34.0","-"
"Russia","52.0","17.0","35.0","-"
"Soviet Union (former)","30.0","10.0","20.0","-"
"Ukraine","55.0","23.0","32.0","-"
"United Kingdom","38.0","20.0","18.0","-"
"Vietnam","33.0","20.0","13.0","-"
"Other","583.0","270.0","313.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
