"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Richmond-Petersburg, VA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1208.0","557.0","651.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","139.0","69.0","70.0","-"
"25-34 years","327.0","142.0","185.0","-"
"35-44 years","326.0","161.0","165.0","-"
"45-54 years","218.0","95.0","123.0","-"
"55-64 years","122.0","51.0","71.0","-"
"65 years and over","76.0","39.0","37.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","241.0","138.0","103.0","-"
"Married","858.0","388.0","470.0","-"
"Other","109.0","31.0","78.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","82.0","53.0","29.0","-"
"Professional and technical","82.0","32.0","50.0","-"
"Sales","56.0","14.0","42.0","-"
"Administrative support","11.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","54.0","35.0","19.0","-"
"Precision production, craft, repair","25.0","D","D","-"
"Service","83.0","39.0","44.0","-"
"Military","16.0","9.0","7.0","-"
"No occupation","151.0","61.0","90.0","-"
"Unknown","648.0","287.0","361.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","16.0","9.0","7.0","-"
"Bosnia and Herzegovina","51.0","26.0","25.0","-"
"Cambodia","33.0","17.0","16.0","-"
"China","46.0","19.0","27.0","-"
"Egypt","22.0","14.0","8.0","-"
"El Salvador","39.0","20.0","19.0","-"
"Ethiopia","19.0","9.0","10.0","-"
"India","118.0","58.0","60.0","-"
"Jamaica","28.0","11.0","17.0","-"
"Korea","67.0","22.0","45.0","-"
"Lebanon","15.0","9.0","6.0","-"
"Mexico","23.0","13.0","10.0","-"
"Nigeria","15.0","9.0","6.0","-"
"Pakistan","29.0","14.0","15.0","-"
"Philippines","37.0","14.0","23.0","-"
"Russia","35.0","16.0","19.0","-"
"Serbia and Montenegro","27.0","14.0","13.0","-"
"Ukraine","19.0","11.0","8.0","-"
"United Kingdom","21.0","5.0","16.0","-"
"Vietnam","121.0","58.0","63.0","-"
"Other","427.0","189.0","238.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
