"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Sacramento, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","6808.0","2866.0","3942.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","795.0","351.0","444.0","-"
"25-34 years","1947.0","797.0","1150.0","-"
"35-44 years","1537.0","671.0","866.0","-"
"45-54 years","1059.0","443.0","616.0","-"
"55-64 years","742.0","299.0","443.0","-"
"65 years and over","728.0","305.0","423.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1337.0","688.0","649.0","-"
"Married","4781.0","1995.0","2786.0","-"
"Other","685.0","179.0","506.0","-"
"Unknown","5.0","4.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","161.0","78.0","83.0","-"
"Professional and technical","426.0","191.0","235.0","-"
"Sales","291.0","104.0","187.0","-"
"Administrative support","205.0","53.0","152.0","-"
"Farming, forestry, fisheries","10.0","7.0","3.0","-"
"Operators, fabricators, laborers","325.0","242.0","83.0","-"
"Precision production, craft, repair","114.0","108.0","6.0","-"
"Service","512.0","172.0","340.0","-"
"Military","25.0","18.0","7.0","-"
"No occupation","1003.0","317.0","686.0","-"
"Unknown","3736.0","1576.0","2160.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Armenia","81.0","36.0","45.0","-"
"Belarus","82.0","35.0","47.0","-"
"Bosnia and Herzegovina","74.0","31.0","43.0","-"
"China","348.0","125.0","223.0","-"
"El Salvador","59.0","20.0","39.0","-"
"Fiji","393.0","170.0","223.0","-"
"Hong Kong","87.0","40.0","47.0","-"
"India","469.0","222.0","247.0","-"
"Iran","143.0","62.0","81.0","-"
"Korea","110.0","33.0","77.0","-"
"Laos","268.0","121.0","147.0","-"
"Mexico","647.0","333.0","314.0","-"
"Moldova","148.0","77.0","71.0","-"
"Pakistan","118.0","57.0","61.0","-"
"Philippines","642.0","234.0","408.0","-"
"Romania","123.0","50.0","73.0","-"
"Russia","203.0","75.0","128.0","-"
"Thailand","111.0","35.0","76.0","-"
"Ukraine","639.0","261.0","378.0","-"
"Vietnam","789.0","317.0","472.0","-"
"Other","1267.0","532.0","735.0","-"
"Unknown","7.0","-","7.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
