"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: San Diego, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","12196.0","5271.0","6925.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1503.0","815.0","688.0","-"
"25-34 years","3395.0","1479.0","1916.0","-"
"35-44 years","3327.0","1386.0","1941.0","-"
"45-54 years","1835.0","732.0","1103.0","-"
"55-64 years","1105.0","456.0","649.0","-"
"65 years and over","1031.0","403.0","628.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2807.0","1537.0","1270.0","-"
"Married","8094.0","3380.0","4714.0","-"
"Other","1272.0","343.0","929.0","-"
"Unknown","23.0","11.0","12.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","237.0","110.0","127.0","-"
"Professional and technical","733.0","339.0","394.0","-"
"Sales","358.0","117.0","241.0","-"
"Administrative support","215.0","36.0","179.0","-"
"Farming, forestry, fisheries","11.0","11.0","-","-"
"Operators, fabricators, laborers","394.0","259.0","135.0","-"
"Precision production, craft, repair","127.0","118.0","9.0","-"
"Service","452.0","167.0","285.0","-"
"Military","748.0","627.0","121.0","-"
"No occupation","1538.0","496.0","1042.0","-"
"Unknown","7383.0","2991.0","4392.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Cambodia","101.0","31.0","70.0","-"
"Canada","177.0","91.0","86.0","-"
"China","363.0","137.0","226.0","-"
"Ethiopia","94.0","41.0","53.0","-"
"India","255.0","120.0","135.0","-"
"Iran","339.0","137.0","202.0","-"
"Iraq","377.0","165.0","212.0","-"
"Korea","175.0","73.0","102.0","-"
"Laos","163.0","53.0","110.0","-"
"Mexico","3734.0","1663.0","2071.0","-"
"Peru","91.0","40.0","51.0","-"
"Philippines","2060.0","813.0","1247.0","-"
"Russia","99.0","30.0","69.0","-"
"Serbia and Montenegro","118.0","64.0","54.0","-"
"Somalia","126.0","58.0","68.0","-"
"Soviet Union (former)","104.0","43.0","61.0","-"
"Taiwan","150.0","57.0","93.0","-"
"Thailand","107.0","45.0","62.0","-"
"United Kingdom","207.0","94.0","113.0","-"
"Vietnam","1012.0","419.0","593.0","-"
"Other","2317.0","1086.0","1231.0","-"
"Unknown","27.0","11.0","16.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
