"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: San Jose, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","15169.0","6394.0","8775.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1241.0","575.0","666.0","-"
"25-34 years","3911.0","1456.0","2455.0","-"
"35-44 years","4891.0","2157.0","2734.0","-"
"45-54 years","2405.0","1098.0","1307.0","-"
"55-64 years","1385.0","586.0","799.0","-"
"65 years and over","1336.0","522.0","814.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","3240.0","1681.0","1559.0","-"
"Married","10422.0","4284.0","6138.0","-"
"Other","1484.0","416.0","1068.0","-"
"Unknown","23.0","13.0","10.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","347.0","163.0","184.0","-"
"Professional and technical","1431.0","830.0","601.0","-"
"Sales","368.0","128.0","240.0","-"
"Administrative support","200.0","28.0","172.0","-"
"Farming, forestry, fisheries","14.0","10.0","4.0","-"
"Operators, fabricators, laborers","563.0","270.0","293.0","-"
"Precision production, craft, repair","117.0","110.0","7.0","-"
"Service","323.0","113.0","210.0","-"
"Military","22.0","14.0","8.0","-"
"No occupation","1748.0","625.0","1123.0","-"
"Unknown","10036.0","4103.0","5933.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","199.0","98.0","101.0","-"
"Cambodia","131.0","58.0","73.0","-"
"Canada","110.0","70.0","40.0","-"
"China","1208.0","408.0","800.0","-"
"El Salvador","113.0","52.0","61.0","-"
"Ethiopia","170.0","83.0","87.0","-"
"Hong Kong","243.0","118.0","125.0","-"
"India","1903.0","914.0","989.0","-"
"Iran","595.0","232.0","363.0","-"
"Japan","81.0","33.0","48.0","-"
"Korea","467.0","187.0","280.0","-"
"Mexico","1252.0","596.0","656.0","-"
"Pakistan","132.0","67.0","65.0","-"
"Peru","95.0","40.0","55.0","-"
"Philippines","1523.0","570.0","953.0","-"
"Russia","235.0","87.0","148.0","-"
"Taiwan","888.0","323.0","565.0","-"
"Ukraine","98.0","40.0","58.0","-"
"United Kingdom","189.0","103.0","86.0","-"
"Vietnam","3341.0","1302.0","2039.0","-"
"Other","2182.0","1009.0","1173.0","-"
"Unknown","14.0","4.0","10.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
