"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Vallejo-Fairfield-Napa, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1582.0","737.0","845.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","193.0","101.0","92.0","-"
"25-34 years","464.0","210.0","254.0","-"
"35-44 years","413.0","196.0","217.0","-"
"45-54 years","220.0","101.0","119.0","-"
"55-64 years","145.0","64.0","81.0","-"
"65 years and over","147.0","65.0","82.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","305.0","181.0","124.0","-"
"Married","1138.0","513.0","625.0","-"
"Other","137.0","42.0","95.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","32.0","15.0","17.0","-"
"Professional and technical","96.0","39.0","57.0","-"
"Sales","64.0","18.0","46.0","-"
"Administrative support","35.0","10.0","25.0","-"
"Farming, forestry, fisheries","6.0","D","D","-"
"Operators, fabricators, laborers","92.0","75.0","17.0","-"
"Precision production, craft, repair","29.0","D","D","-"
"Service","90.0","35.0","55.0","-"
"Military","49.0","39.0","10.0","-"
"No occupation","141.0","42.0","99.0","-"
"Unknown","948.0","433.0","515.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Cambodia","8.0","D","D","-"
"China","16.0","4.0","12.0","-"
"El Salvador","41.0","17.0","24.0","-"
"Fiji","23.0","10.0","13.0","-"
"France","9.0","3.0","6.0","-"
"Germany","9.0","D","D","-"
"Guatemala","12.0","7.0","5.0","-"
"India","57.0","31.0","26.0","-"
"Iran","16.0","8.0","8.0","-"
"Jordan","15.0","8.0","7.0","-"
"Korea","26.0","13.0","13.0","-"
"Laos","10.0","D","D","-"
"Mexico","400.0","232.0","168.0","-"
"Nicaragua","16.0","8.0","8.0","-"
"Pakistan","14.0","7.0","7.0","-"
"Peru","16.0","6.0","10.0","-"
"Philippines","561.0","224.0","337.0","-"
"Taiwan","10.0","3.0","7.0","-"
"United Kingdom","31.0","20.0","11.0","-"
"Vietnam","49.0","23.0","26.0","-"
"Other","241.0","106.0","135.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
