"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Bryan-College Station, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","114.0","50.0","64.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","19.0","9.0","10.0","-"
"25-34 years","18.0","7.0","11.0","-"
"35-44 years","35.0","16.0","19.0","-"
"45-54 years","28.0","10.0","18.0","-"
"55-64 years","10.0","4.0","6.0","-"
"65 years and over","4.0","4.0","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","20.0","11.0","9.0","-"
"Married","83.0","36.0","47.0","-"
"Other","11.0","3.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","D","-"
"Professional and technical","16.0","7.0","9.0","-"
"Sales","4.0","D","D","-"
"Administrative support","D","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","8.0","D","D","-"
"Precision production, craft, repair","4.0","4.0","-","-"
"Service","10.0","4.0","6.0","-"
"Military","D","D","-","-"
"No occupation","22.0","5.0","17.0","-"
"Unknown","45.0","18.0","27.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","D","D","-","-"
"Barbados","D","-","D","-"
"Bosnia and Herzegovina","4.0","D","D","-"
"Brazil","4.0","-","4.0","-"
"Canada","6.0","D","D","-"
"China","6.0","D","D","-"
"Colombia","3.0","-","3.0","-"
"Cuba","D","D","-","-"
"Egypt","D","-","D","-"
"Germany","3.0","D","D","-"
"Hungary","D","D","D","-"
"India","8.0","3.0","5.0","-"
"Iran","D","-","D","-"
"Korea","D","-","D","-"
"Mexico","41.0","22.0","19.0","-"
"Pakistan","4.0","D","D","-"
"Romania","D","D","D","-"
"Serbia and Montenegro","D","D","D","-"
"United Kingdom","D","D","-","-"
"Vietnam","5.0","D","D","-"
"Other","13.0","5.0","8.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
