"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Charleston-North Charleston, SC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","109.0","52.0","57.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","15.0","11.0","4.0","-"
"25-34 years","41.0","17.0","24.0","-"
"35-44 years","24.0","10.0","14.0","-"
"45-54 years","18.0","10.0","8.0","-"
"55-64 years","8.0","4.0","4.0","-"
"65 years and over","3.0","-","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","22.0","12.0","10.0","-"
"Married","78.0","37.0","41.0","-"
"Other","9.0","3.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","5.0","D","D","-"
"Professional and technical","7.0","D","D","-"
"Sales","5.0","D","D","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","8.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","-","D","-"
"Military","18.0","12.0","6.0","-"
"No occupation","10.0","3.0","7.0","-"
"Unknown","51.0","21.0","30.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Belgium","D","D","-","-"
"Brazil","D","-","D","-"
"Canada","7.0","D","D","-"
"Dominican Republic","3.0","D","D","-"
"Germany","4.0","D","D","-"
"Haiti","D","D","D","-"
"Honduras","D","D","-","-"
"Hong Kong","D","D","D","-"
"India","D","D","-","-"
"Ireland","D","D","D","-"
"Jamaica","3.0","3.0","-","-"
"Korea","3.0","D","D","-"
"Mexico","6.0","D","D","-"
"Netherlands","D","D","D","-"
"Nigeria","3.0","D","D","-"
"Panama","4.0","D","D","-"
"Peru","3.0","D","D","-"
"Philippines","15.0","5.0","10.0","-"
"United Kingdom","7.0","4.0","3.0","-"
"Vietnam","3.0","-","3.0","-"
"Other","30.0","13.0","17.0","-"
"Unknown","2.0","-","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
