"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Charlottesville, VA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","112.0","56.0","56.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","11.0","D","D","-"
"25-34 years","19.0","8.0","11.0","-"
"35-44 years","36.0","18.0","18.0","-"
"45-54 years","26.0","12.0","14.0","-"
"55-64 years","15.0","10.0","5.0","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","27.0","D","D","-"
"Married","81.0","39.0","42.0","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","-","D","-"
"Professional and technical","13.0","6.0","7.0","-"
"Sales","-","-","-","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","D","D","-","-"
"Precision production, craft, repair","-","-","-","-"
"Service","-","-","-","-"
"Military","-","-","-","-"
"No occupation","8.0","D","D","-"
"Unknown","88.0","45.0","43.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","3.0","D","D","-"
"Bangladesh","3.0","D","D","-"
"Bosnia and Herzegovina","7.0","3.0","4.0","-"
"Canada","4.0","D","D","-"
"China","6.0","3.0","3.0","-"
"Croatia","3.0","D","D","-"
"Germany","5.0","D","D","-"
"Ghana","4.0","D","D","-"
"Guatemala","D","-","D","-"
"Hungary","3.0","D","D","-"
"India","8.0","D","D","-"
"Ireland","D","-","D","-"
"Italy","D","D","-","-"
"Mexico","4.0","D","D","-"
"Nepal","D","D","D","-"
"Philippines","4.0","D","D","-"
"Serbia and Montenegro","6.0","D","D","-"
"Taiwan","3.0","D","D","-"
"United Kingdom","10.0","6.0","4.0","-"
"Vietnam","3.0","D","D","-"
"Other","27.0","15.0","12.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
