"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Albany-Schenectady-Troy, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","800.0","358.0","442.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","93.0","43.0","50.0","-"
"25-34 years","216.0","90.0","126.0","-"
"35-44 years","254.0","119.0","135.0","-"
"45-54 years","134.0","69.0","65.0","-"
"55-64 years","59.0","23.0","36.0","-"
"65 years and over","44.0","14.0","30.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","170.0","84.0","86.0","-"
"Married","558.0","248.0","310.0","-"
"Other","72.0","26.0","46.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","24.0","D","D","-"
"Professional and technical","90.0","49.0","41.0","-"
"Sales","33.0","22.0","11.0","-"
"Administrative support","17.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","42.0","29.0","13.0","-"
"Precision production, craft, repair","7.0","7.0","-","-"
"Service","61.0","20.0","41.0","-"
"Military","4.0","D","D","-"
"No occupation","108.0","34.0","74.0","-"
"Unknown","414.0","176.0","238.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Afghanistan","16.0","D","D","-"
"Albania","24.0","13.0","11.0","-"
"Belarus","10.0","5.0","5.0","-"
"Bosnia and Herzegovina","11.0","6.0","5.0","-"
"Canada","20.0","6.0","14.0","-"
"China","52.0","22.0","30.0","-"
"Dominican Republic","17.0","9.0","8.0","-"
"Egypt","12.0","D","D","-"
"Guyana","84.0","38.0","46.0","-"
"India","61.0","22.0","39.0","-"
"Jamaica","31.0","12.0","19.0","-"
"Pakistan","57.0","25.0","32.0","-"
"Philippines","17.0","D","D","-"
"Poland","26.0","14.0","12.0","-"
"Romania","11.0","5.0","6.0","-"
"Russia","19.0","6.0","13.0","-"
"Sudan","12.0","D","D","-"
"Ukraine","19.0","8.0","11.0","-"
"United Kingdom","15.0","7.0","8.0","-"
"Vietnam","26.0","12.0","14.0","-"
"Other","260.0","125.0","135.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
