"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Cleveland-Lorain-Elyria, OH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2583.0","1160.0","1423.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","312.0","142.0","170.0","-"
"25-34 years","625.0","278.0","347.0","-"
"35-44 years","699.0","304.0","395.0","-"
"45-54 years","493.0","229.0","264.0","-"
"55-64 years","233.0","117.0","116.0","-"
"65 years and over","221.0","90.0","131.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","505.0","284.0","221.0","-"
"Married","1847.0","800.0","1047.0","-"
"Other","229.0","75.0","154.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","97.0","66.0","31.0","-"
"Professional and technical","193.0","96.0","97.0","-"
"Sales","77.0","33.0","44.0","-"
"Administrative support","28.0","4.0","24.0","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","197.0","130.0","67.0","-"
"Precision production, craft, repair","34.0","30.0","4.0","-"
"Service","70.0","30.0","40.0","-"
"Military","D","D","-","-"
"No occupation","364.0","136.0","228.0","-"
"Unknown","1520.0","632.0","888.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","120.0","58.0","62.0","-"
"Bosnia and Herzegovina","190.0","90.0","100.0","-"
"Canada","34.0","15.0","19.0","-"
"China","104.0","32.0","72.0","-"
"Croatia","65.0","37.0","28.0","-"
"Egypt","57.0","28.0","29.0","-"
"Germany","33.0","12.0","21.0","-"
"India","237.0","112.0","125.0","-"
"Jordan","32.0","19.0","13.0","-"
"Lebanon","48.0","17.0","31.0","-"
"Mexico","45.0","20.0","25.0","-"
"Philippines","44.0","16.0","28.0","-"
"Poland","84.0","30.0","54.0","-"
"Romania","187.0","75.0","112.0","-"
"Russia","82.0","39.0","43.0","-"
"Serbia and Montenegro","90.0","42.0","48.0","-"
"Syria","35.0","16.0","19.0","-"
"Ukraine","215.0","93.0","122.0","-"
"United Kingdom","50.0","29.0","21.0","-"
"Vietnam","66.0","26.0","40.0","-"
"Other","747.0","342.0","405.0","-"
"Unknown","18.0","12.0","6.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
