"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Columbus, OH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","3594.0","1728.0","1866.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","420.0","190.0","230.0","-"
"25-34 years","1062.0","470.0","592.0","-"
"35-44 years","1056.0","559.0","497.0","-"
"45-54 years","585.0","295.0","290.0","-"
"55-64 years","273.0","129.0","144.0","-"
"65 years and over","198.0","85.0","113.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","804.0","448.0","356.0","-"
"Married","2346.0","1109.0","1237.0","-"
"Other","444.0","171.0","273.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","167.0","106.0","61.0","-"
"Professional and technical","277.0","159.0","118.0","-"
"Sales","124.0","48.0","76.0","-"
"Administrative support","43.0","13.0","30.0","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","189.0","140.0","49.0","-"
"Precision production, craft, repair","31.0","26.0","5.0","-"
"Service","176.0","72.0","104.0","-"
"Military","D","D","-","-"
"No occupation","445.0","182.0","263.0","-"
"Unknown","2136.0","976.0","1160.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Cambodia","80.0","39.0","41.0","-"
"China","172.0","70.0","102.0","-"
"Egypt","58.0","32.0","26.0","-"
"Eritrea","48.0","19.0","29.0","-"
"Ethiopia","141.0","62.0","79.0","-"
"Ghana","234.0","135.0","99.0","-"
"India","338.0","169.0","169.0","-"
"Iran","53.0","19.0","34.0","-"
"Korea","62.0","27.0","35.0","-"
"Mexico","64.0","39.0","25.0","-"
"Morocco","68.0","49.0","19.0","-"
"Nigeria","95.0","52.0","43.0","-"
"Philippines","58.0","15.0","43.0","-"
"Russia","48.0","17.0","31.0","-"
"Sierra Leone","52.0","26.0","26.0","-"
"Somalia","540.0","259.0","281.0","-"
"Taiwan","54.0","15.0","39.0","-"
"Ukraine","51.0","17.0","34.0","-"
"United Kingdom","52.0","28.0","24.0","-"
"Vietnam","104.0","43.0","61.0","-"
"Other","1196.0","586.0","610.0","-"
"Unknown","26.0","10.0","16.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
