"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Fayetteville-Springdale-Rogers, AR","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","314.0","143.0","171.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","43.0","14.0","29.0","-"
"25-34 years","113.0","52.0","61.0","-"
"35-44 years","89.0","42.0","47.0","-"
"45-54 years","42.0","22.0","20.0","-"
"55-64 years","15.0","9.0","6.0","-"
"65 years and over","12.0","4.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","68.0","29.0","39.0","-"
"Married","226.0","107.0","119.0","-"
"Other","20.0","7.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","20.0","11.0","9.0","-"
"Professional and technical","17.0","11.0","6.0","-"
"Sales","5.0","D","D","-"
"Administrative support","10.0","D","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","73.0","44.0","29.0","-"
"Precision production, craft, repair","6.0","D","D","-"
"Service","17.0","4.0","13.0","-"
"Military","D","D","D","-"
"No occupation","28.0","6.0","22.0","-"
"Unknown","134.0","56.0","78.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Burma","D","D","-","-"
"China","4.0","-","4.0","-"
"Colombia","4.0","D","D","-"
"Costa Rica","D","-","D","-"
"Cuba","D","-","D","-"
"Ecuador","3.0","3.0","-","-"
"El Salvador","29.0","16.0","13.0","-"
"Germany","3.0","D","D","-"
"Guatemala","4.0","D","D","-"
"India","8.0","5.0","3.0","-"
"Korea","6.0","3.0","3.0","-"
"Kuwait","D","-","D","-"
"Laos","33.0","14.0","19.0","-"
"Mexico","134.0","65.0","69.0","-"
"Peru","10.0","3.0","7.0","-"
"Philippines","11.0","4.0","7.0","-"
"Romania","4.0","D","D","-"
"Thailand","4.0","D","D","-"
"United Kingdom","5.0","D","D","-"
"Vietnam","6.0","D","D","-"
"Other","36.0","12.0","24.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
