"Persons Naturalized During Fiscal Year 2005","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Fort Lauderdale, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","6280.0","2522.0","3758.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","503.0","184.0","319.0","-"
"25-34 years","1654.0","625.0","1029.0","-"
"35-44 years","1870.0","799.0","1071.0","-"
"45-54 years","1204.0","467.0","737.0","-"
"55-64 years","662.0","293.0","369.0","-"
"65 years and over","387.0","154.0","233.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1325.0","543.0","782.0","-"
"Married","4038.0","1718.0","2320.0","-"
"Other","916.0","260.0","656.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","278.0","143.0","135.0","-"
"Professional and technical","294.0","93.0","201.0","-"
"Sales","167.0","72.0","95.0","-"
"Administrative support","92.0","10.0","82.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","125.0","97.0","28.0","-"
"Precision production, craft, repair","65.0","62.0","3.0","-"
"Service","184.0","50.0","134.0","-"
"Military","30.0","24.0","6.0","-"
"No occupation","697.0","198.0","499.0","-"
"Unknown","4348.0","1773.0","2575.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Argentina","60.0","30.0","30.0","-"
"Brazil","231.0","82.0","149.0","-"
"Canada","99.0","46.0","53.0","-"
"Colombia","619.0","223.0","396.0","-"
"Cuba","313.0","143.0","170.0","-"
"Dominican Republic","199.0","72.0","127.0","-"
"Ecuador","130.0","52.0","78.0","-"
"Guyana","85.0","32.0","53.0","-"
"Haiti","734.0","316.0","418.0","-"
"Honduras","79.0","31.0","48.0","-"
"India","79.0","41.0","38.0","-"
"Israel","60.0","33.0","27.0","-"
"Jamaica","1373.0","487.0","886.0","-"
"Mexico","91.0","34.0","57.0","-"
"Nicaragua","142.0","60.0","82.0","-"
"Peru","251.0","93.0","158.0","-"
"Philippines","71.0","24.0","47.0","-"
"Trinidad and Tobago","209.0","79.0","130.0","-"
"United Kingdom","104.0","47.0","57.0","-"
"Venezuela","164.0","71.0","93.0","-"
"Other","1179.0","519.0","660.0","-"
"Unknown","8.0","7.0","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
