"Persons Naturalized During Fiscal Year 2003","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Indiana","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2725.0","1284.0","1441.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","261.0","122.0","139.0","-"
"25-34 years","771.0","346.0","425.0","-"
"35-44 years","906.0","443.0","463.0","-"
"45-54 years","441.0","209.0","232.0","-"
"55-64 years","213.0","111.0","102.0","-"
"65 years and over","133.0","53.0","80.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","467.0","281.0","186.0","-"
"Married","2005.0","897.0","1108.0","-"
"Other","252.0","106.0","146.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","211.0","127.0","84.0","-"
"Professional and technical","515.0","275.0","240.0","-"
"Sales","138.0","55.0","83.0","-"
"Administrative support","89.0","16.0","73.0","-"
"Farming, forestry, fisheries","4.0","D","D","-"
"Operators, fabricators, laborers","372.0","238.0","134.0","-"
"Precision production, craft, repair","73.0","57.0","16.0","-"
"Service","265.0","101.0","164.0","-"
"Military","3.0","D","D","-"
"No occupation","384.0","106.0","278.0","-"
"Unknown","671.0","305.0","366.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","58.0","32.0","26.0","-"
"Canada","70.0","32.0","38.0","-"
"China","194.0","88.0","106.0","-"
"Ethiopia","34.0","14.0","20.0","-"
"Germany","35.0","9.0","26.0","-"
"India","299.0","142.0","157.0","-"
"Iran","32.0","11.0","21.0","-"
"Iraq","31.0","28.0","3.0","-"
"Korea","74.0","31.0","43.0","-"
"Macedonia","28.0","13.0","15.0","-"
"Mexico","398.0","206.0","192.0","-"
"Nigeria","57.0","30.0","27.0","-"
"Pakistan","85.0","45.0","40.0","-"
"Philippines","140.0","43.0","97.0","-"
"Poland","60.0","29.0","31.0","-"
"Russia","44.0","15.0","29.0","-"
"Serbia and Montenegro","33.0","14.0","19.0","-"
"Ukraine","50.0","21.0","29.0","-"
"United Kingdom","61.0","30.0","31.0","-"
"Vietnam","103.0","44.0","59.0","-"
"Other","831.0","405.0","426.0","-"
"Unknown","8.0","2.0","6.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
