"Persons Naturalized During Fiscal Year 2003","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Mississippi","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","445.0","199.0","246.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","61.0","28.0","33.0","-"
"25-34 years","117.0","53.0","64.0","-"
"35-44 years","138.0","59.0","79.0","-"
"45-54 years","77.0","33.0","44.0","-"
"55-64 years","38.0","17.0","21.0","-"
"65 years and over","14.0","9.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","95.0","56.0","39.0","-"
"Married","316.0","134.0","182.0","-"
"Other","34.0","9.0","25.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","29.0","D","D","-"
"Professional and technical","66.0","35.0","31.0","-"
"Sales","20.0","4.0","16.0","-"
"Administrative support","18.0","4.0","14.0","-"
"Farming, forestry, fisheries","10.0","D","D","-"
"Operators, fabricators, laborers","28.0","15.0","13.0","-"
"Precision production, craft, repair","4.0","D","D","-"
"Service","64.0","25.0","39.0","-"
"Military","39.0","26.0","13.0","-"
"No occupation","98.0","19.0","79.0","-"
"Unknown","69.0","35.0","34.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","5.0","D","D","-"
"Canada","9.0","3.0","6.0","-"
"China","19.0","5.0","14.0","-"
"Colombia","13.0","3.0","10.0","-"
"Egypt","4.0","D","D","-"
"France","5.0","D","D","-"
"Germany","4.0","D","D","-"
"Honduras","9.0","3.0","6.0","-"
"India","58.0","26.0","32.0","-"
"Iran","7.0","D","D","-"
"Korea","12.0","6.0","6.0","-"
"Mexico","30.0","18.0","12.0","-"
"Nigeria","6.0","D","D","-"
"Pakistan","8.0","3.0","5.0","-"
"Panama","9.0","5.0","4.0","-"
"Peru","6.0","-","6.0","-"
"Philippines","55.0","17.0","38.0","-"
"Russia","4.0","D","D","-"
"United Kingdom","17.0","9.0","8.0","-"
"Vietnam","66.0","34.0","32.0","-"
"Other","99.0","54.0","45.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
