"Persons Naturalized During Fiscal Year 2003","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: New Mexico","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","993.0","418.0","575.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","183.0","81.0","102.0","-"
"25-34 years","288.0","121.0","167.0","-"
"35-44 years","246.0","85.0","161.0","-"
"45-54 years","143.0","67.0","76.0","-"
"55-64 years","83.0","37.0","46.0","-"
"65 years and over","50.0","27.0","23.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","246.0","135.0","111.0","-"
"Married","646.0","242.0","404.0","-"
"Other","101.0","41.0","60.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","24.0","11.0","13.0","-"
"Professional and technical","111.0","44.0","67.0","-"
"Sales","46.0","15.0","31.0","-"
"Administrative support","19.0","5.0","14.0","-"
"Farming, forestry, fisheries","4.0","D","D","-"
"Operators, fabricators, laborers","67.0","55.0","12.0","-"
"Precision production, craft, repair","29.0","D","D","-"
"Service","49.0","14.0","35.0","-"
"Military","56.0","33.0","23.0","-"
"No occupation","295.0","77.0","218.0","-"
"Unknown","293.0","135.0","158.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","10.0","3.0","7.0","-"
"Canada","22.0","10.0","12.0","-"
"China","33.0","13.0","20.0","-"
"Colombia","9.0","3.0","6.0","-"
"Cuba","14.0","8.0","6.0","-"
"El Salvador","8.0","3.0","5.0","-"
"Germany","17.0","7.0","10.0","-"
"Guatemala","16.0","8.0","8.0","-"
"India","60.0","27.0","33.0","-"
"Iran","14.0","5.0","9.0","-"
"Korea","16.0","7.0","9.0","-"
"Mexico","392.0","167.0","225.0","-"
"Nigeria","8.0","D","D","-"
"Pakistan","11.0","6.0","5.0","-"
"Peru","12.0","D","D","-"
"Philippines","50.0","17.0","33.0","-"
"Poland","9.0","5.0","4.0","-"
"Taiwan","14.0","6.0","8.0","-"
"United Kingdom","21.0","7.0","14.0","-"
"Vietnam","65.0","33.0","32.0","-"
"Other","190.0","78.0","112.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
