"Persons Naturalized During Fiscal Year 2003","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Rhode Island","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1620.0","674.0","946.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","222.0","77.0","145.0","-"
"25-34 years","463.0","176.0","287.0","-"
"35-44 years","466.0","211.0","255.0","-"
"45-54 years","238.0","108.0","130.0","-"
"55-64 years","137.0","60.0","77.0","-"
"65 years and over","94.0","42.0","52.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","457.0","192.0","265.0","-"
"Married","951.0","417.0","534.0","-"
"Other","212.0","65.0","147.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","96.0","60.0","36.0","-"
"Professional and technical","116.0","52.0","64.0","-"
"Sales","55.0","15.0","40.0","-"
"Administrative support","101.0","20.0","81.0","-"
"Farming, forestry, fisheries","3.0","3.0","-","-"
"Operators, fabricators, laborers","285.0","149.0","136.0","-"
"Precision production, craft, repair","54.0","48.0","6.0","-"
"Service","155.0","46.0","109.0","-"
"Military","12.0","9.0","3.0","-"
"No occupation","237.0","64.0","173.0","-"
"Unknown","506.0","208.0","298.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bolivia","18.0","8.0","10.0","-"
"Cambodia","58.0","20.0","38.0","-"
"Cape Verde","97.0","44.0","53.0","-"
"China","32.0","14.0","18.0","-"
"Colombia","105.0","44.0","61.0","-"
"Dominican Republic","286.0","100.0","186.0","-"
"El Salvador","17.0","5.0","12.0","-"
"Guatemala","74.0","40.0","34.0","-"
"Haiti","26.0","8.0","18.0","-"
"India","30.0","16.0","14.0","-"
"Laos","43.0","18.0","25.0","-"
"Liberia","48.0","15.0","33.0","-"
"Mexico","24.0","11.0","13.0","-"
"Nigeria","42.0","20.0","22.0","-"
"Philippines","37.0","9.0","28.0","-"
"Poland","29.0","9.0","20.0","-"
"Portugal","218.0","99.0","119.0","-"
"Russia","20.0","11.0","9.0","-"
"Syria","18.0","8.0","10.0","-"
"United Kingdom","37.0","19.0","18.0","-"
"Other","360.0","155.0","205.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
