"Persons Naturalized During Fiscal Year 2003","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Washington","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","11787.0","5181.0","6606.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1416.0","655.0","761.0","-"
"25-34 years","3449.0","1516.0","1933.0","-"
"35-44 years","3133.0","1391.0","1742.0","-"
"45-54 years","1833.0","796.0","1037.0","-"
"55-64 years","1023.0","432.0","591.0","-"
"65 years and over","933.0","391.0","542.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2748.0","1507.0","1241.0","-"
"Married","7805.0","3294.0","4511.0","-"
"Other","1234.0","380.0","854.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","306.0","162.0","144.0","-"
"Professional and technical","734.0","341.0","393.0","-"
"Sales","426.0","167.0","259.0","-"
"Administrative support","263.0","48.0","215.0","-"
"Farming, forestry, fisheries","69.0","57.0","12.0","-"
"Operators, fabricators, laborers","588.0","371.0","217.0","-"
"Precision production, craft, repair","199.0","162.0","37.0","-"
"Service","751.0","238.0","513.0","-"
"Military","178.0","144.0","34.0","-"
"No occupation","1542.0","483.0","1059.0","-"
"Unknown","6731.0","3008.0","3723.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","179.0","90.0","89.0","-"
"Cambodia","340.0","136.0","204.0","-"
"Canada","443.0","186.0","257.0","-"
"China","576.0","242.0","334.0","-"
"Ethiopia","278.0","124.0","154.0","-"
"Hong Kong","160.0","66.0","94.0","-"
"India","529.0","264.0","265.0","-"
"Iran","189.0","83.0","106.0","-"
"Korea","882.0","334.0","548.0","-"
"Laos","170.0","82.0","88.0","-"
"Mexico","908.0","433.0","475.0","-"
"Philippines","1100.0","420.0","680.0","-"
"Romania","164.0","79.0","85.0","-"
"Russia","377.0","157.0","220.0","-"
"Somalia","255.0","119.0","136.0","-"
"Taiwan","228.0","89.0","139.0","-"
"Thailand","194.0","70.0","124.0","-"
"Ukraine","500.0","201.0","299.0","-"
"United Kingdom","225.0","108.0","117.0","-"
"Vietnam","1232.0","558.0","674.0","-"
"Other","2841.0","1331.0","1510.0","-"
"Unknown","17.0","9.0","8.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
