"Persons Naturalized During Fiscal Year 2004","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Hawaii","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2050.0","945.0","1105.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","258.0","175.0","83.0","-"
"25-34 years","673.0","334.0","339.0","-"
"35-44 years","538.0","198.0","340.0","-"
"45-54 years","270.0","96.0","174.0","-"
"55-64 years","153.0","74.0","79.0","-"
"65 years and over","158.0","68.0","90.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","486.0","319.0","167.0","-"
"Married","1392.0","579.0","813.0","-"
"Other","171.0","46.0","125.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","99.0","41.0","58.0","-"
"Professional and technical","99.0","34.0","65.0","-"
"Sales","158.0","48.0","110.0","-"
"Administrative support","91.0","18.0","73.0","-"
"Farming, forestry, fisheries","16.0","D","D","-"
"Operators, fabricators, laborers","56.0","42.0","14.0","-"
"Precision production, craft, repair","20.0","D","D","-"
"Service","341.0","146.0","195.0","-"
"Military","428.0","354.0","74.0","-"
"No occupation","401.0","102.0","299.0","-"
"Unknown","341.0","127.0","214.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"American Samoa","18.0","4.0","14.0","-"
"Brazil","15.0","9.0","6.0","-"
"Canada","23.0","11.0","12.0","-"
"China","132.0","47.0","85.0","-"
"Colombia","17.0","11.0","6.0","-"
"El Salvador","18.0","11.0","7.0","-"
"Haiti","13.0","9.0","4.0","-"
"Hong Kong","34.0","16.0","18.0","-"
"Jamaica","36.0","31.0","5.0","-"
"Japan","112.0","29.0","83.0","-"
"Korea","220.0","81.0","139.0","-"
"Laos","14.0","8.0","6.0","-"
"Mexico","58.0","34.0","24.0","-"
"Philippines","825.0","376.0","449.0","-"
"Samoa","16.0","7.0","9.0","-"
"Taiwan","26.0","8.0","18.0","-"
"Thailand","26.0","11.0","15.0","-"
"Tonga","14.0","4.0","10.0","-"
"United Kingdom","22.0","8.0","14.0","-"
"Vietnam","83.0","41.0","42.0","-"
"Other","328.0","189.0","139.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
