"Persons Naturalized During Fiscal Year 2004","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Maine","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","548.0","221.0","327.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","64.0","29.0","35.0","-"
"25-34 years","134.0","58.0","76.0","-"
"35-44 years","172.0","67.0","105.0","-"
"45-54 years","89.0","37.0","52.0","-"
"55-64 years","60.0","20.0","40.0","-"
"65 years and over","29.0","10.0","19.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","112.0","64.0","48.0","-"
"Married","373.0","131.0","242.0","-"
"Other","63.0","26.0","37.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","21.0","8.0","13.0","-"
"Professional and technical","50.0","18.0","32.0","-"
"Sales","18.0","6.0","12.0","-"
"Administrative support","13.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","25.0","18.0","7.0","-"
"Precision production, craft, repair","6.0","D","D","-"
"Service","29.0","10.0","19.0","-"
"Military","21.0","D","D","-"
"No occupation","44.0","18.0","26.0","-"
"Unknown","321.0","121.0","200.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","7.0","D","D","-"
"Bosnia and Herzegovina","16.0","8.0","8.0","-"
"Cambodia","32.0","15.0","17.0","-"
"Canada","77.0","21.0","56.0","-"
"China","19.0","7.0","12.0","-"
"Colombia","8.0","4.0","4.0","-"
"Germany","14.0","D","D","-"
"India","16.0","9.0","7.0","-"
"Iran","7.0","D","D","-"
"Jamaica","7.0","D","D","-"
"Mexico","8.0","-","8.0","-"
"Philippines","17.0","6.0","11.0","-"
"Poland","15.0","4.0","11.0","-"
"Romania","7.0","4.0","3.0","-"
"Russia","11.0","3.0","8.0","-"
"Somalia","50.0","22.0","28.0","-"
"Sudan","9.0","5.0","4.0","-"
"Ukraine","9.0","-","9.0","-"
"United Kingdom","20.0","8.0","12.0","-"
"Vietnam","26.0","10.0","16.0","-"
"Other","170.0","78.0","92.0","-"
"Unknown","3.0","2.0","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
