"Persons Naturalized During Fiscal Year 2004","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: South Carolina","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1748.0","782.0","966.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","178.0","89.0","89.0","-"
"25-34 years","425.0","192.0","233.0","-"
"35-44 years","490.0","207.0","283.0","-"
"45-54 years","333.0","149.0","184.0","-"
"55-64 years","227.0","96.0","131.0","-"
"65 years and over","95.0","49.0","46.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","331.0","193.0","138.0","-"
"Married","1250.0","523.0","727.0","-"
"Other","136.0","48.0","88.0","-"
"Unknown","31.0","18.0","13.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","144.0","79.0","65.0","-"
"Professional and technical","250.0","125.0","125.0","-"
"Sales","75.0","33.0","42.0","-"
"Administrative support","88.0","17.0","71.0","-"
"Farming, forestry, fisheries","3.0","3.0","-","-"
"Operators, fabricators, laborers","96.0","59.0","37.0","-"
"Precision production, craft, repair","33.0","27.0","6.0","-"
"Service","129.0","56.0","73.0","-"
"Military","100.0","67.0","33.0","-"
"No occupation","222.0","56.0","166.0","-"
"Unknown","608.0","260.0","348.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bulgaria","17.0","9.0","8.0","-"
"Canada","65.0","36.0","29.0","-"
"China","104.0","48.0","56.0","-"
"Colombia","61.0","27.0","34.0","-"
"Germany","52.0","16.0","36.0","-"
"India","188.0","89.0","99.0","-"
"Iran","22.0","13.0","9.0","-"
"Ireland","19.0","9.0","10.0","-"
"Israel","18.0","10.0","8.0","-"
"Jamaica","32.0","14.0","18.0","-"
"Korea","45.0","14.0","31.0","-"
"Mexico","92.0","46.0","46.0","-"
"Nigeria","29.0","11.0","18.0","-"
"Panama","18.0","4.0","14.0","-"
"Philippines","125.0","38.0","87.0","-"
"Poland","23.0","12.0","11.0","-"
"Russia","22.0","8.0","14.0","-"
"Taiwan","20.0","11.0","9.0","-"
"United Kingdom","84.0","33.0","51.0","-"
"Vietnam","103.0","55.0","48.0","-"
"Other","606.0","278.0","328.0","-"
"Unknown","3.0","1.0","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
