"Persons Naturalized During Fiscal Year 2004","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Arizona","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","6500.0","2902.0","3598.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","670.0","296.0","374.0","-"
"25-34 years","1714.0","719.0","995.0","-"
"35-44 years","1977.0","921.0","1056.0","-"
"45-54 years","1093.0","488.0","605.0","-"
"55-64 years","645.0","290.0","355.0","-"
"65 years and over","401.0","188.0","213.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1328.0","688.0","640.0","-"
"Married","4494.0","1994.0","2500.0","-"
"Other","666.0","212.0","454.0","-"
"Unknown","12.0","8.0","4.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","212.0","119.0","93.0","-"
"Professional and technical","490.0","257.0","233.0","-"
"Sales","262.0","121.0","141.0","-"
"Administrative support","204.0","30.0","174.0","-"
"Farming, forestry, fisheries","12.0","D","D","-"
"Operators, fabricators, laborers","351.0","259.0","92.0","-"
"Precision production, craft, repair","133.0","D","D","-"
"Service","431.0","161.0","270.0","-"
"Military","77.0","59.0","18.0","-"
"No occupation","754.0","210.0","544.0","-"
"Unknown","3574.0","1548.0","2026.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","291.0","127.0","164.0","-"
"Bulgaria","52.0","26.0","26.0","-"
"Canada","223.0","107.0","116.0","-"
"China","138.0","58.0","80.0","-"
"Colombia","48.0","9.0","39.0","-"
"El Salvador","68.0","19.0","49.0","-"
"Germany","92.0","23.0","69.0","-"
"Guatemala","59.0","35.0","24.0","-"
"India","300.0","156.0","144.0","-"
"Iran","129.0","52.0","77.0","-"
"Iraq","82.0","48.0","34.0","-"
"Korea","113.0","40.0","73.0","-"
"Mexico","2453.0","1119.0","1334.0","-"
"Pakistan","41.0","21.0","20.0","-"
"Philippines","306.0","87.0","219.0","-"
"Romania","102.0","46.0","56.0","-"
"Russia","61.0","22.0","39.0","-"
"Serbia and Montenegro","96.0","48.0","48.0","-"
"United Kingdom","153.0","81.0","72.0","-"
"Vietnam","332.0","156.0","176.0","-"
"Other","1356.0","617.0","739.0","-"
"Unknown","5.0","5.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
