"Persons Naturalized During Fiscal Year 2005","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Illinois","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","27739.0","12882.0","14857.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","3017.0","1386.0","1631.0","-"
"25-34 years","7675.0","3459.0","4216.0","-"
"35-44 years","7447.0","3582.0","3865.0","-"
"45-54 years","4690.0","2190.0","2500.0","-"
"55-64 years","2939.0","1376.0","1563.0","-"
"65 years and over","1971.0","889.0","1082.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","5575.0","3028.0","2547.0","-"
"Married","19363.0","8916.0","10447.0","-"
"Other","2745.0","894.0","1851.0","-"
"Unknown","56.0","44.0","12.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","1183.0","700.0","483.0","-"
"Professional and technical","1831.0","784.0","1047.0","-"
"Sales","720.0","293.0","427.0","-"
"Administrative support","268.0","64.0","204.0","-"
"Farming, forestry, fisheries","17.0","14.0","3.0","-"
"Operators, fabricators, laborers","1730.0","1232.0","498.0","-"
"Precision production, craft, repair","424.0","408.0","16.0","-"
"Service","889.0","345.0","544.0","-"
"Military","86.0","65.0","21.0","-"
"No occupation","3334.0","1115.0","2219.0","-"
"Unknown","17257.0","7862.0","9395.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","260.0","135.0","125.0","-"
"Bosnia and Herzegovina","933.0","474.0","459.0","-"
"Bulgaria","647.0","325.0","322.0","-"
"China","965.0","368.0","597.0","-"
"Ecuador","248.0","120.0","128.0","-"
"Guatemala","285.0","140.0","145.0","-"
"India","3021.0","1444.0","1577.0","-"
"Jordan","305.0","178.0","127.0","-"
"Korea","712.0","296.0","416.0","-"
"Lithuania","404.0","160.0","244.0","-"
"Mexico","4818.0","2471.0","2347.0","-"
"Nigeria","430.0","232.0","198.0","-"
"Pakistan","784.0","369.0","415.0","-"
"Philippines","1778.0","630.0","1148.0","-"
"Poland","3537.0","1573.0","1964.0","-"
"Romania","516.0","248.0","268.0","-"
"Serbia and Montenegro","565.0","294.0","271.0","-"
"Soviet Union, (former)","497.0","219.0","278.0","-"
"Ukraine","426.0","168.0","258.0","-"
"Vietnam","625.0","261.0","364.0","-"
"Other","5833.0","2708.0","3125.0","-"
"Unknown","150.0","69.0","81.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
