"Persons Naturalized During Fiscal Year 2005","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Kansas","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1814.0","823.0","991.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","250.0","106.0","144.0","-"
"25-34 years","552.0","246.0","306.0","-"
"35-44 years","490.0","247.0","243.0","-"
"45-54 years","274.0","121.0","153.0","-"
"55-64 years","147.0","61.0","86.0","-"
"65 years and over","101.0","42.0","59.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","384.0","203.0","181.0","-"
"Married","1225.0","538.0","687.0","-"
"Other","205.0","82.0","123.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","117.0","73.0","44.0","-"
"Professional and technical","170.0","79.0","91.0","-"
"Sales","57.0","16.0","41.0","-"
"Administrative support","31.0","5.0","26.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","190.0","118.0","72.0","-"
"Precision production, craft, repair","122.0","82.0","40.0","-"
"Service","118.0","34.0","84.0","-"
"Military","75.0","54.0","21.0","-"
"No occupation","306.0","94.0","212.0","-"
"Unknown","628.0","268.0","360.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","20.0","8.0","12.0","-"
"Cambodia","36.0","13.0","23.0","-"
"Canada","24.0","12.0","12.0","-"
"China","64.0","24.0","40.0","-"
"El Salvador","17.0","11.0","6.0","-"
"Ethiopia","28.0","8.0","20.0","-"
"Germany","20.0","4.0","16.0","-"
"India","142.0","73.0","69.0","-"
"Iran","45.0","22.0","23.0","-"
"Korea","52.0","19.0","33.0","-"
"Laos","55.0","32.0","23.0","-"
"Mexico","392.0","207.0","185.0","-"
"Nigeria","22.0","15.0","7.0","-"
"Pakistan","54.0","25.0","29.0","-"
"Peru","17.0","9.0","8.0","-"
"Philippines","65.0","16.0","49.0","-"
"Russia","28.0","10.0","18.0","-"
"Thailand","18.0","5.0","13.0","-"
"United Kingdom","35.0","19.0","16.0","-"
"Vietnam","232.0","88.0","144.0","-"
"Other","432.0","197.0","235.0","-"
"Unknown","16.0","6.0","10.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
