"Persons Naturalized During Fiscal Year 2005","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Ohio","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","9415.0","4307.0","5108.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1051.0","488.0","563.0","-"
"25-34 years","2513.0","1063.0","1450.0","-"
"35-44 years","2751.0","1318.0","1433.0","-"
"45-54 years","1660.0","792.0","868.0","-"
"55-64 years","800.0","376.0","424.0","-"
"65 years and over","640.0","270.0","370.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1875.0","1045.0","830.0","-"
"Married","6572.0","2909.0","3663.0","-"
"Other","962.0","348.0","614.0","-"
"Unknown","6.0","5.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","459.0","302.0","157.0","-"
"Professional and technical","824.0","466.0","358.0","-"
"Sales","307.0","123.0","184.0","-"
"Administrative support","110.0","24.0","86.0","-"
"Farming, forestry, fisheries","5.0","D","D","-"
"Operators, fabricators, laborers","556.0","384.0","172.0","-"
"Precision production, craft, repair","82.0","68.0","14.0","-"
"Service","356.0","151.0","205.0","-"
"Military","18.0","D","D","-"
"No occupation","1281.0","468.0","813.0","-"
"Unknown","5417.0","2302.0","3115.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","162.0","78.0","84.0","-"
"Bosnia and Herzegovina","288.0","129.0","159.0","-"
"Canada","193.0","100.0","93.0","-"
"China","454.0","183.0","271.0","-"
"Egypt","149.0","80.0","69.0","-"
"Ethiopia","178.0","78.0","100.0","-"
"Ghana","271.0","156.0","115.0","-"
"India","1057.0","511.0","546.0","-"
"Jordan","143.0","76.0","67.0","-"
"Korea","161.0","58.0","103.0","-"
"Mexico","201.0","106.0","95.0","-"
"Nigeria","170.0","98.0","72.0","-"
"Philippines","243.0","68.0","175.0","-"
"Romania","265.0","111.0","154.0","-"
"Russia","191.0","78.0","113.0","-"
"Serbia and Montenegro","152.0","75.0","77.0","-"
"Somalia","546.0","263.0","283.0","-"
"Ukraine","333.0","134.0","199.0","-"
"United Kingdom","201.0","109.0","92.0","-"
"Vietnam","345.0","141.0","204.0","-"
"Other","3632.0","1643.0","1989.0","-"
"Unknown","80.0","32.0","48.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
