"Persons Naturalized During Fiscal Year 2005","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Colorado","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","5681.0","2586.0","3095.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","580.0","249.0","331.0","-"
"25-34 years","1734.0","749.0","985.0","-"
"35-44 years","1645.0","788.0","857.0","-"
"45-54 years","795.0","385.0","410.0","-"
"55-64 years","485.0","212.0","273.0","-"
"65 years and over","442.0","203.0","239.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1035.0","575.0","460.0","-"
"Married","3985.0","1777.0","2208.0","-"
"Other","660.0","234.0","426.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","293.0","154.0","139.0","-"
"Professional and technical","395.0","188.0","207.0","-"
"Sales","193.0","63.0","130.0","-"
"Administrative support","D","D","63.0","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","280.0","212.0","68.0","-"
"Precision production, craft, repair","117.0","108.0","9.0","-"
"Service","294.0","97.0","197.0","-"
"Military","109.0","81.0","28.0","-"
"No occupation","671.0","235.0","436.0","-"
"Unknown","3253.0","1435.0","1818.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","147.0","81.0","66.0","-"
"Canada","165.0","77.0","88.0","-"
"China","168.0","71.0","97.0","-"
"Ethiopia","180.0","72.0","108.0","-"
"Germany","110.0","30.0","80.0","-"
"Ghana","58.0","36.0","22.0","-"
"India","177.0","93.0","84.0","-"
"Iran","82.0","31.0","51.0","-"
"Korea","206.0","79.0","127.0","-"
"Mexico","1180.0","611.0","569.0","-"
"Morocco","72.0","52.0","20.0","-"
"Peru","56.0","27.0","29.0","-"
"Philippines","160.0","48.0","112.0","-"
"Poland","77.0","21.0","56.0","-"
"Russia","235.0","75.0","160.0","-"
"South Africa","59.0","36.0","23.0","-"
"Sudan","66.0","47.0","19.0","-"
"Ukraine","126.0","49.0","77.0","-"
"United Kingdom","163.0","80.0","83.0","-"
"Vietnam","489.0","213.0","276.0","-"
"Other","1675.0","743.0","932.0","-"
"Unknown","30.0","14.0","16.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
