"Persons Naturalized During Fiscal Year 2006","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Idaho","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","980.0","444.0","536.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","134.0","50.0","84.0","-"
"25-34 years","269.0","122.0","147.0","-"
"35-44 years","278.0","125.0","153.0","-"
"45-54 years","151.0","68.0","83.0","-"
"55-64 years","94.0","50.0","44.0","-"
"65 years and over","54.0","29.0","25.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","138.0","76.0","62.0","-"
"Married","743.0","332.0","411.0","-"
"Other","99.0","36.0","63.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","90.0","41.0","49.0","-"
"Service occupations","52.0","18.0","34.0","-"
"Sales and office occupations","27.0","4.0","23.0","-"
"Farming, fishing, and forestry occupations","11.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","9.0","D","D","-"
"Production, transportation, and material moving occupations","76.0","56.0","20.0","-"
"Military","11.0","D","D","-"
"No occupation/not working outside home","74.0","26.0","48.0","-"
"Homemakers","D","-","D","-"
"Students or children","53.0","20.0","33.0","-"
"Retirees","D","6.0","D","-"
"Unemployed","D","-","D","-"
"Unknown","630.0","275.0","355.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","10.0","4.0","6.0","-"
"Bosnia and Herzegovina","158.0","84.0","74.0","-"
"Brazil","11.0","6.0","5.0","-"
"Bulgaria","7.0","D","D","-"
"Canada","45.0","17.0","28.0","-"
"China","30.0","8.0","22.0","-"
"Croatia","9.0","D","D","-"
"Germany","9.0","3.0","6.0","-"
"Guatemala","7.0","D","D","-"
"India","27.0","10.0","17.0","-"
"Iran","11.0","5.0","6.0","-"
"Mexico","312.0","164.0","148.0","-"
"Peru","12.0","8.0","4.0","-"
"Philippines","36.0","8.0","28.0","-"
"Romania","8.0","D","D","-"
"Russia","16.0","D","D","-"
"Serbia and Montenegro","37.0","17.0","20.0","-"
"Ukraine","17.0","4.0","13.0","-"
"United Kingdom","28.0","13.0","15.0","-"
"Vietnam","25.0","10.0","15.0","-"
"Other","164.0","65.0","99.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
