"Persons Naturalized During Fiscal Year 2006","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Maryland","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","14465.0","6194.0","8271.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1543.0","710.0","833.0","-"
"25-34 years","3833.0","1493.0","2340.0","-"
"35-44 years","4457.0","1961.0","2496.0","-"
"45-54 years","2404.0","1040.0","1364.0","-"
"55-64 years","1327.0","615.0","712.0","-"
"65 years and over","901.0","375.0","526.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","3343.0","1604.0","1739.0","-"
"Married","9727.0","4157.0","5570.0","-"
"Other","1395.0","433.0","962.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1088.0","528.0","560.0","-"
"Service occupations","53.0","23.0","30.0","-"
"Sales and office occupations","100.0","36.0","64.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","53.0","53.0","-","-"
"Production, transportation, and material moving occupations","91.0","68.0","23.0","-"
"Military","123.0","95.0","28.0","-"
"No occupation/not working outside home","1238.0","483.0","755.0","-"
"Homemakers","105.0","-","105.0","-"
"Students or children","1011.0","426.0","585.0","-"
"Retirees","62.0","34.0","28.0","-"
"Unemployed","60.0","23.0","37.0","-"
"Unknown","11719.0","4908.0","6811.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Cameroon","176.0","86.0","90.0","-"
"China","897.0","397.0","500.0","-"
"El Salvador","700.0","330.0","370.0","-"
"Ethiopia","417.0","173.0","244.0","-"
"Ghana","334.0","158.0","176.0","-"
"India","1222.0","588.0","634.0","-"
"Iran","344.0","146.0","198.0","-"
"Jamaica","492.0","170.0","322.0","-"
"Korea","736.0","291.0","445.0","-"
"Mexico","201.0","90.0","111.0","-"
"Nigeria","980.0","451.0","529.0","-"
"Pakistan","317.0","142.0","175.0","-"
"Peru","258.0","104.0","154.0","-"
"Philippines","744.0","258.0","486.0","-"
"Russia","193.0","70.0","123.0","-"
"Sierra Leone","281.0","123.0","158.0","-"
"Taiwan","179.0","78.0","101.0","-"
"Trinidad and Tobago","263.0","100.0","163.0","-"
"United Kingdom","211.0","99.0","112.0","-"
"Vietnam","399.0","138.0","261.0","-"
"Other","5113.0","2197.0","2916.0","-"
"Unknown","8.0","5.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
