"Persons Naturalized During Fiscal Year 2006","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: New York","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","103870.0","46434.0","57436.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","12319.0","5422.0","6897.0","-"
"25-34 years","27363.0","11557.0","15806.0","-"
"35-44 years","26976.0","12635.0","14341.0","-"
"45-54 years","17847.0","8015.0","9832.0","-"
"55-64 years","11659.0","5426.0","6233.0","-"
"65 years and over","7706.0","3379.0","4327.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","28496.0","13461.0","15035.0","-"
"Married","61418.0","28207.0","33211.0","-"
"Other","13956.0","4766.0","9190.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","7249.0","3612.0","3637.0","-"
"Service occupations","3313.0","1366.0","1947.0","-"
"Sales and office occupations","3359.0","1305.0","2054.0","-"
"Farming, fishing, and forestry occupations","7.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","939.0","D","D","-"
"Production, transportation, and material moving occupations","2907.0","2182.0","725.0","-"
"Military","360.0","263.0","97.0","-"
"No occupation/not working outside home","14295.0","5116.0","9179.0","-"
"Homemakers","1909.0","26.0","1883.0","-"
"Students or children","9317.0","3716.0","5601.0","-"
"Retirees","1393.0","707.0","686.0","-"
"Unemployed","1676.0","667.0","1009.0","-"
"Unknown","71441.0","31660.0","39781.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","3301.0","1691.0","1610.0","-"
"China","9150.0","3882.0","5268.0","-"
"Colombia","2531.0","1019.0","1512.0","-"
"Dominican Republic","10629.0","4578.0","6051.0","-"
"Ecuador","3378.0","1664.0","1714.0","-"
"El Salvador","1404.0","730.0","674.0","-"
"Guyana","4701.0","1934.0","2767.0","-"
"Haiti","3587.0","1561.0","2026.0","-"
"India","4274.0","2137.0","2137.0","-"
"Jamaica","6653.0","2477.0","4176.0","-"
"Korea","2212.0","961.0","1251.0","-"
"Nigeria","1253.0","594.0","659.0","-"
"Pakistan","2403.0","1223.0","1180.0","-"
"Peru","1364.0","612.0","752.0","-"
"Philippines","2339.0","843.0","1496.0","-"
"Poland","2246.0","978.0","1268.0","-"
"Russia","2498.0","961.0","1537.0","-"
"Serbia and Montenegro","1673.0","837.0","836.0","-"
"Trinidad and Tobago","2964.0","1132.0","1832.0","-"
"Ukraine","3246.0","1405.0","1841.0","-"
"Other","32035.0","15197.0","16838.0","-"
"Unknown","29.0","18.0","11.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
