"Persons Naturalized During Fiscal Year 2006","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: North Dakota","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","329.0","160.0","169.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","45.0","22.0","23.0","-"
"25-34 years","81.0","42.0","39.0","-"
"35-44 years","98.0","48.0","50.0","-"
"45-54 years","57.0","27.0","30.0","-"
"55-64 years","25.0","13.0","12.0","-"
"65 years and over","23.0","8.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","66.0","42.0","24.0","-"
"Married","232.0","108.0","124.0","-"
"Other","31.0","10.0","21.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","16.0","11.0","5.0","-"
"Service occupations","8.0","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","21.0","D","D","-"
"Military","11.0","D","D","-"
"No occupation/not working outside home","27.0","13.0","14.0","-"
"Homemakers","D","-","D","-"
"Students or children","D","13.0","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","238.0","104.0","134.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Armenia","3.0","D","D","-"
"Bosnia and Herzegovina","74.0","35.0","39.0","-"
"Canada","26.0","9.0","17.0","-"
"China","6.0","D","D","-"
"Colombia","3.0","-","3.0","-"
"Croatia","5.0","5.0","-","-"
"Germany","4.0","D","D","-"
"Haiti","4.0","D","D","-"
"India","9.0","D","D","-"
"Iraq","11.0","D","D","-"
"Mexico","13.0","9.0","4.0","-"
"Pakistan","5.0","D","D","-"
"Philippines","9.0","3.0","6.0","-"
"Romania","4.0","D","D","-"
"Russia","5.0","D","D","-"
"Serbia and Montenegro","12.0","6.0","6.0","-"
"Somalia","25.0","13.0","12.0","-"
"Sudan","27.0","19.0","8.0","-"
"United Kingdom","7.0","3.0","4.0","-"
"Vietnam","14.0","7.0","7.0","-"
"Other","62.0","30.0","32.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
