"Persons Naturalized During Fiscal Year 2006","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Utah","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2740.0","1211.0","1529.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","314.0","132.0","182.0","-"
"25-34 years","886.0","381.0","505.0","-"
"35-44 years","687.0","307.0","380.0","-"
"45-54 years","407.0","173.0","234.0","-"
"55-64 years","251.0","127.0","124.0","-"
"65 years and over","195.0","91.0","104.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","529.0","290.0","239.0","-"
"Married","1936.0","842.0","1094.0","-"
"Other","275.0","79.0","196.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","196.0","108.0","88.0","-"
"Service occupations","99.0","34.0","65.0","-"
"Sales and office occupations","95.0","23.0","72.0","-"
"Farming, fishing, and forestry occupations","3.0","3.0","-","-"
"Construction, extraction, maintenance and repair occupations","24.0","24.0","-","-"
"Production, transportation, and material moving occupations","186.0","129.0","57.0","-"
"Military","15.0","11.0","4.0","-"
"No occupation/not working outside home","254.0","94.0","160.0","-"
"Homemakers","33.0","-","33.0","-"
"Students or children","188.0","84.0","104.0","-"
"Retirees","21.0","D","D","-"
"Unemployed","12.0","D","D","-"
"Unknown","1868.0","785.0","1083.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","43.0","17.0","26.0","-"
"Bosnia and Herzegovina","245.0","113.0","132.0","-"
"Brazil","40.0","10.0","30.0","-"
"Cambodia","58.0","24.0","34.0","-"
"Canada","86.0","46.0","40.0","-"
"China","95.0","37.0","58.0","-"
"El Salvador","60.0","28.0","32.0","-"
"Guatemala","37.0","18.0","19.0","-"
"Iran","38.0","17.0","21.0","-"
"Laos","50.0","21.0","29.0","-"
"Mexico","598.0","288.0","310.0","-"
"Peru","74.0","31.0","43.0","-"
"Philippines","70.0","22.0","48.0","-"
"Russia","47.0","19.0","28.0","-"
"Serbia and Montenegro","41.0","21.0","20.0","-"
"Sudan","70.0","53.0","17.0","-"
"Taiwan","37.0","10.0","27.0","-"
"Thailand","39.0","10.0","29.0","-"
"United Kingdom","49.0","21.0","28.0","-"
"Vietnam","122.0","50.0","72.0","-"
"Other","838.0","352.0","486.0","-"
"Unknown","3.0","3.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
