"Persons Naturalized During Fiscal Year 2007","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Delaware","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1094.0","527.0","567.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","111.0","52.0","59.0","-"
"25-34 years","294.0","127.0","167.0","-"
"35-44 years","359.0","182.0","177.0","-"
"45-54 years","172.0","91.0","81.0","-"
"55-64 years","101.0","47.0","54.0","-"
"65 years and over","57.0","28.0","29.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","218.0","113.0","105.0","-"
"Married","777.0","380.0","397.0","-"
"Other","99.0","34.0","65.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","82.0","34.0","48.0","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","11.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","7.0","7.0","-","-"
"Production, transportation, and material moving occupations","29.0","23.0","6.0","-"
"Military","10.0","D","D","-"
"No occupation/not working outside home","93.0","34.0","59.0","-"
"Homemakers","11.0","-","11.0","-"
"Students or children","73.0","29.0","44.0","-"
"Retirees","3.0","D","D","-"
"Unemployed","6.0","D","D","-"
"Unknown","857.0","417.0","440.0","-"
"","","","",""
"Leading countries of birth","","","",""
"China","58.0","27.0","31.0","-"
"Colombia","20.0","5.0","15.0","-"
"Croatia","12.0","9.0","3.0","-"
"Dominican Republic","21.0","9.0","12.0","-"
"El Salvador","12.0","7.0","5.0","-"
"Ghana","16.0","4.0","12.0","-"
"Guyana","15.0","6.0","9.0","-"
"Haiti","36.0","20.0","16.0","-"
"India","203.0","109.0","94.0","-"
"Jamaica","45.0","19.0","26.0","-"
"Kenya","13.0","8.0","5.0","-"
"Korea","32.0","15.0","17.0","-"
"Liberia","24.0","10.0","14.0","-"
"Mexico","92.0","58.0","34.0","-"
"Nigeria","39.0","21.0","18.0","-"
"Pakistan","27.0","16.0","11.0","-"
"Philippines","68.0","24.0","44.0","-"
"Trinidad and Tobago","17.0","6.0","11.0","-"
"Turkey","16.0","10.0","6.0","-"
"Vietnam","18.0","5.0","13.0","-"
"Other","310.0","139.0","171.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
