"Persons Naturalized During Fiscal Year 2008","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Arizona","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","24055.0","10584.0","13471.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1855.0","777.0","1078.0","-"
"25-34 years","5650.0","2287.0","3363.0","-"
"35-44 years","7170.0","3120.0","4050.0","-"
"45-54 years","4456.0","1966.0","2490.0","-"
"55-64 years","3316.0","1615.0","1701.0","-"
"65 years and over","1608.0","819.0","789.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","4355.0","1997.0","2358.0","-"
"Married","17026.0","7766.0","9260.0","-"
"Other","2674.0","821.0","1853.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","2873.0","1352.0","1521.0","-"
"Service occupations","1652.0","451.0","1201.0","-"
"Sales and office occupations","1127.0","324.0","803.0","-"
"Farming, fishing, and forestry occupations","78.0","68.0","10.0","-"
"Construction, extraction, maintenance and repair occupations","469.0","462.0","7.0","-"
"Production, transportation, and material moving occupations","1656.0","1254.0","402.0","-"
"Military","92.0","74.0","18.0","-"
"No occupation/not working outside home","2677.0","708.0","1969.0","-"
"Homemakers","961.0","14.0","947.0","-"
"Students or children","1104.0","360.0","744.0","-"
"Retirees","390.0","257.0","133.0","-"
"Unemployed","222.0","77.0","145.0","-"
"Unknown","13431.0","5891.0","7540.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","406.0","197.0","209.0","-"
"Canada","529.0","236.0","293.0","-"
"China","384.0","160.0","224.0","-"
"Colombia","163.0","44.0","119.0","-"
"Cuba","120.0","68.0","52.0","-"
"El Salvador","348.0","158.0","190.0","-"
"Germany","125.0","37.0","88.0","-"
"Guatemala","252.0","110.0","142.0","-"
"India","768.0","394.0","374.0","-"
"Iran","217.0","116.0","101.0","-"
"Iraq","278.0","168.0","110.0","-"
"Korea","170.0","61.0","109.0","-"
"Mexico","14083.0","6312.0","7771.0","-"
"Peru","145.0","39.0","106.0","-"
"Philippines","865.0","241.0","624.0","-"
"Poland","145.0","52.0","93.0","-"
"Romania","205.0","99.0","106.0","-"
"Sudan","145.0","114.0","31.0","-"
"United Kingdom","322.0","132.0","190.0","-"
"Vietnam","832.0","292.0","540.0","-"
"Other","3532.0","1548.0","1984.0","-"
"Unknown","21.0","6.0","15.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
