"Persons Naturalized During Fiscal Year 2008","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Washington","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","18665.0","8117.0","10548.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1931.0","861.0","1070.0","-"
"25-34 years","4810.0","1960.0","2850.0","-"
"35-44 years","5466.0","2431.0","3035.0","-"
"45-54 years","3201.0","1403.0","1798.0","-"
"55-64 years","1905.0","848.0","1057.0","-"
"65 years and over","1352.0","614.0","738.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","3681.0","1878.0","1803.0","-"
"Married","13157.0","5700.0","7457.0","-"
"Other","1827.0","539.0","1288.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","2539.0","1337.0","1202.0","-"
"Service occupations","1519.0","448.0","1071.0","-"
"Sales and office occupations","1093.0","262.0","831.0","-"
"Farming, fishing, and forestry occupations","140.0","117.0","23.0","-"
"Construction, extraction, maintenance and repair occupations","322.0","311.0","11.0","-"
"Production, transportation, and material moving occupations","1274.0","924.0","350.0","-"
"Military","233.0","182.0","51.0","-"
"No occupation/not working outside home","1797.0","581.0","1216.0","-"
"Homemakers","272.0","3.0","269.0","-"
"Students or children","1267.0","458.0","809.0","-"
"Retirees","166.0","87.0","79.0","-"
"Unemployed","92.0","33.0","59.0","-"
"Unknown","9748.0","3955.0","5793.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","218.0","105.0","113.0","-"
"Cambodia","299.0","132.0","167.0","-"
"Canada","616.0","254.0","362.0","-"
"China","1023.0","468.0","555.0","-"
"Ethiopia","294.0","132.0","162.0","-"
"Hong Kong","178.0","85.0","93.0","-"
"India","1106.0","553.0","553.0","-"
"Iran","222.0","117.0","105.0","-"
"Korea","926.0","357.0","569.0","-"
"Mexico","3174.0","1499.0","1675.0","-"
"Moldova","271.0","120.0","151.0","-"
"Philippines","1594.0","541.0","1053.0","-"
"Romania","186.0","82.0","104.0","-"
"Russia","875.0","376.0","499.0","-"
"Somalia","224.0","121.0","103.0","-"
"Taiwan","248.0","93.0","155.0","-"
"Thailand","241.0","78.0","163.0","-"
"Ukraine","1400.0","614.0","786.0","-"
"United Kingdom","308.0","158.0","150.0","-"
"Vietnam","1334.0","477.0","857.0","-"
"Other","3920.0","1751.0","2169.0","-"
"Unknown","8.0","4.0","4.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
