"Persons Naturalized During Fiscal Year 2008","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Wyoming","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","245.0","98.0","147.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","18.0","4.0","14.0","-"
"25-34 years","54.0","21.0","33.0","-"
"35-44 years","80.0","33.0","47.0","-"
"45-54 years","63.0","30.0","33.0","-"
"55-64 years","24.0","7.0","17.0","-"
"65 years and over","6.0","3.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","28.0","14.0","14.0","-"
"Married","200.0","78.0","122.0","-"
"Other","17.0","6.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","35.0","13.0","22.0","-"
"Service occupations","27.0","4.0","23.0","-"
"Sales and office occupations","17.0","D","D","-"
"Farming, fishing, and forestry occupations","3.0","3.0","-","-"
"Construction, extraction, maintenance and repair occupations","6.0","6.0","-","-"
"Production, transportation, and material moving occupations","16.0","13.0","3.0","-"
"Military","7.0","4.0","3.0","-"
"No occupation/not working outside home","12.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","7.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","122.0","50.0","72.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","3.0","D","D","-"
"Canada","17.0","9.0","8.0","-"
"Chile","D","D","D","-"
"China","13.0","7.0","6.0","-"
"Colombia","3.0","-","3.0","-"
"France","3.0","D","D","-"
"Germany","6.0","D","D","-"
"Ghana","D","D","D","-"
"India","D","-","D","-"
"Kenya","3.0","D","D","-"
"Korea","6.0","3.0","3.0","-"
"Mexico","107.0","49.0","58.0","-"
"Netherlands","D","D","D","-"
"New Zealand","D","D","D","-"
"Peru","5.0","D","D","-"
"Philippines","15.0","D","D","-"
"Russia","5.0","D","D","-"
"South Africa","3.0","D","D","-"
"Turkey","3.0","D","D","-"
"United Kingdom","7.0","D","D","-"
"Other","36.0","12.0","24.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
