"Persons Naturalized During Fiscal Year 2008","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: U.S. Possessions","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","934.0","397.0","537.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","68.0","22.0","46.0","-"
"25-34 years","166.0","57.0","109.0","-"
"35-44 years","225.0","97.0","128.0","-"
"45-54 years","236.0","104.0","132.0","-"
"55-64 years","151.0","71.0","80.0","-"
"65 years and over","88.0","46.0","42.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","269.0","110.0","159.0","-"
"Married","552.0","239.0","313.0","-"
"Other","113.0","48.0","65.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","32.0","10.0","22.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","12.0","7.0","5.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","5.0","5.0","-","-"
"Military","7.0","D","D","-"
"No occupation/not working outside home","50.0","15.0","35.0","-"
"Homemakers","10.0","-","10.0","-"
"Students or children","16.0","6.0","10.0","-"
"Retirees","11.0","4.0","7.0","-"
"Unemployed","13.0","5.0","8.0","-"
"Unknown","825.0","354.0","471.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Anguilla","16.0","8.0","8.0","-"
"Antigua and Barbuda","54.0","24.0","30.0","-"
"Barbados","5.0","D","D","-"
"British Virgin Islands","16.0","6.0","10.0","-"
"China","8.0","-","8.0","-"
"Dominica","218.0","94.0","124.0","-"
"Dominican Republic","144.0","48.0","96.0","-"
"Grenada","10.0","D","D","-"
"Guadeloupe","5.0","D","D","-"
"Haiti","6.0","D","D","-"
"India","22.0","12.0","10.0","-"
"Jamaica","12.0","3.0","9.0","-"
"Jordan","6.0","D","D","-"
"Montserrat","8.0","4.0","4.0","-"
"Netherlands","6.0","D","D","-"
"Philippines","23.0","4.0","19.0","-"
"Saint Kitts-Nevis","154.0","72.0","82.0","-"
"Saint Lucia","107.0","50.0","57.0","-"
"Saint Vincent & the Grenadines","12.0","5.0","7.0","-"
"Trinidad and Tobago","27.0","12.0","15.0","-"
"Other","71.0","29.0","42.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
