"Persons Naturalized During Fiscal Year 2008","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Colorado","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","11972.0","5404.0","6568.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","998.0","441.0","557.0","-"
"25-34 years","3146.0","1240.0","1906.0","-"
"35-44 years","3868.0","1799.0","2069.0","-"
"45-54 years","2039.0","935.0","1104.0","-"
"55-64 years","1229.0","653.0","576.0","-"
"65 years and over","692.0","336.0","356.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2042.0","1060.0","982.0","-"
"Married","8604.0","3878.0","4726.0","-"
"Other","1326.0","466.0","860.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1671.0","794.0","877.0","-"
"Service occupations","1142.0","365.0","777.0","-"
"Sales and office occupations","765.0","178.0","587.0","-"
"Farming, fishing, and forestry occupations","61.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","257.0","D","D","-"
"Production, transportation, and material moving occupations","1065.0","780.0","285.0","-"
"Military","63.0","51.0","12.0","-"
"No occupation/not working outside home","1112.0","348.0","764.0","-"
"Homemakers","285.0","3.0","282.0","-"
"Students or children","597.0","229.0","368.0","-"
"Retirees","119.0","71.0","48.0","-"
"Unemployed","111.0","45.0","66.0","-"
"Unknown","5836.0","2579.0","3257.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","128.0","65.0","63.0","-"
"Canada","305.0","151.0","154.0","-"
"China","394.0","164.0","230.0","-"
"Colombia","108.0","32.0","76.0","-"
"El Salvador","174.0","76.0","98.0","-"
"Ethiopia","334.0","153.0","181.0","-"
"Germany","159.0","44.0","115.0","-"
"Guatemala","107.0","53.0","54.0","-"
"India","524.0","267.0","257.0","-"
"Iran","122.0","67.0","55.0","-"
"Korea","334.0","128.0","206.0","-"
"Laos","93.0","36.0","57.0","-"
"Mexico","4159.0","2029.0","2130.0","-"
"Peru","138.0","37.0","101.0","-"
"Philippines","307.0","91.0","216.0","-"
"Poland","117.0","37.0","80.0","-"
"Russia","341.0","113.0","228.0","-"
"Ukraine","176.0","62.0","114.0","-"
"United Kingdom","323.0","169.0","154.0","-"
"Vietnam","674.0","264.0","410.0","-"
"Other","2953.0","1365.0","1588.0","-"
"Unknown","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
