"Persons Naturalized During Fiscal Year 2009","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: District of Columbia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2188.0","955.0","1233.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","120.0","44.0","76.0","-"
"25-34 years","643.0","255.0","388.0","-"
"35-44 years","683.0","346.0","337.0","-"
"45-54 years","363.0","156.0","207.0","-"
"55-64 years","235.0","98.0","137.0","-"
"65 years and over","144.0","56.0","88.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","678.0","308.0","370.0","-"
"Married","1136.0","521.0","615.0","-"
"Other","374.0","126.0","248.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","188.0","79.0","109.0","-"
"Service occupations","77.0","35.0","42.0","-"
"Sales and office occupations","51.0","20.0","31.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","41.0","D","D","-"
"Military","5.0","D","D","-"
"No occupation/not working outside home","186.0","65.0","121.0","-"
"Homemakers","7.0","-","7.0","-"
"Students or children","138.0","47.0","91.0","-"
"Retirees","18.0","9.0","9.0","-"
"Unemployed","23.0","9.0","14.0","-"
"Unknown","1636.0","724.0","912.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","25.0","12.0","13.0","-"
"Brazil","28.0","9.0","19.0","-"
"Canada","46.0","21.0","25.0","-"
"China","63.0","20.0","43.0","-"
"Colombia","41.0","17.0","24.0","-"
"Dominican Republic","73.0","21.0","52.0","-"
"El Salvador","262.0","113.0","149.0","-"
"Ethiopia","342.0","176.0","166.0","-"
"France","31.0","19.0","12.0","-"
"Guatemala","28.0","13.0","15.0","-"
"India","41.0","22.0","19.0","-"
"Iran","25.0","14.0","11.0","-"
"Jamaica","62.0","24.0","38.0","-"
"Nicaragua","28.0","12.0","16.0","-"
"Nigeria","87.0","46.0","41.0","-"
"Peru","35.0","18.0","17.0","-"
"Philippines","79.0","20.0","59.0","-"
"Russia","29.0","9.0","20.0","-"
"Trinidad and Tobago","42.0","15.0","27.0","-"
"United Kingdom","52.0","21.0","31.0","-"
"Other","769.0","333.0","436.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
