"Persons Naturalized During Fiscal Year 2009","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: New Jersey","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","35077.0","16874.0","18203.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","2832.0","1342.0","1490.0","-"
"25-34 years","8789.0","3741.0","5048.0","-"
"35-44 years","10556.0","5462.0","5094.0","-"
"45-54 years","6384.0","3295.0","3089.0","-"
"55-64 years","4074.0","1957.0","2117.0","-"
"65 years and over","2442.0","1077.0","1365.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","6782.0","3587.0","3195.0","-"
"Married","23933.0","11610.0","12323.0","-"
"Other","4360.0","1675.0","2685.0","-"
"Unknown","2.0","2.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5288.0","2762.0","2526.0","-"
"Service occupations","1611.0","612.0","999.0","-"
"Sales and office occupations","1574.0","615.0","959.0","-"
"Farming, fishing, and forestry occupations","12.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","312.0","288.0","24.0","-"
"Production, transportation, and material moving occupations","2569.0","1574.0","995.0","-"
"Military","98.0","D","D","-"
"No occupation/not working outside home","4052.0","1446.0","2606.0","-"
"Homemakers","554.0","16.0","538.0","-"
"Students or children","2531.0","1037.0","1494.0","-"
"Retirees","352.0","171.0","181.0","-"
"Unemployed","615.0","222.0","393.0","-"
"Unknown","19561.0","9484.0","10077.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","553.0","197.0","356.0","-"
"China","1357.0","613.0","744.0","-"
"Colombia","1669.0","700.0","969.0","-"
"Cuba","535.0","309.0","226.0","-"
"Dominican Republic","2733.0","1236.0","1497.0","-"
"Ecuador","1244.0","584.0","660.0","-"
"Egypt","809.0","525.0","284.0","-"
"El Salvador","482.0","245.0","237.0","-"
"Haiti","785.0","362.0","423.0","-"
"India","5551.0","2821.0","2730.0","-"
"Jamaica","823.0","355.0","468.0","-"
"Korea, South","1100.0","490.0","610.0","-"
"Mexico","480.0","265.0","215.0","-"
"Nigeria","496.0","253.0","243.0","-"
"Pakistan","799.0","471.0","328.0","-"
"Peru","1192.0","519.0","673.0","-"
"Philippines","1759.0","694.0","1065.0","-"
"Poland","1169.0","538.0","631.0","-"
"Portugal","531.0","291.0","240.0","-"
"Vietnam","482.0","177.0","305.0","-"
"Other","10505.0","5217.0","5288.0","-"
"Unknown","23.0","12.0","11.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
