"Persons Naturalized During Fiscal Year 2009","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: North Carolina","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","16294.0","7848.0","8446.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1622.0","840.0","782.0","-"
"25-34 years","4367.0","1876.0","2491.0","-"
"35-44 years","5466.0","2767.0","2699.0","-"
"45-54 years","2852.0","1359.0","1493.0","-"
"55-64 years","1309.0","675.0","634.0","-"
"65 years and over","678.0","331.0","347.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2949.0","1666.0","1283.0","-"
"Married","11838.0","5620.0","6218.0","-"
"Other","1507.0","562.0","945.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","2820.0","1480.0","1340.0","-"
"Service occupations","694.0","255.0","439.0","-"
"Sales and office occupations","738.0","288.0","450.0","-"
"Farming, fishing, and forestry occupations","14.0","9.0","5.0","-"
"Construction, extraction, maintenance and repair occupations","184.0","174.0","10.0","-"
"Production, transportation, and material moving occupations","1082.0","705.0","377.0","-"
"Military","298.0","242.0","56.0","-"
"No occupation/not working outside home","2021.0","646.0","1375.0","-"
"Homemakers","354.0","9.0","345.0","-"
"Students or children","1293.0","495.0","798.0","-"
"Retirees","141.0","64.0","77.0","-"
"Unemployed","233.0","78.0","155.0","-"
"Unknown","8443.0","4049.0","4394.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","498.0","257.0","241.0","-"
"China","599.0","262.0","337.0","-"
"Colombia","432.0","149.0","283.0","-"
"Dominican Republic","260.0","115.0","145.0","-"
"Ecuador","214.0","102.0","112.0","-"
"El Salvador","450.0","216.0","234.0","-"
"India","1850.0","968.0","882.0","-"
"Jamaica","232.0","103.0","129.0","-"
"Korea, South","329.0","133.0","196.0","-"
"Laos","204.0","111.0","93.0","-"
"Mexico","1905.0","1060.0","845.0","-"
"Morocco","199.0","135.0","64.0","-"
"Nicaragua","197.0","87.0","110.0","-"
"Nigeria","281.0","157.0","124.0","-"
"Pakistan","265.0","166.0","99.0","-"
"Peru","245.0","97.0","148.0","-"
"Philippines","633.0","215.0","418.0","-"
"Ukraine","195.0","68.0","127.0","-"
"United Kingdom","405.0","216.0","189.0","-"
"Vietnam","781.0","340.0","441.0","-"
"Other","6103.0","2886.0","3217.0","-"
"Unknown","17.0","5.0","12.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
