"Persons Naturalized During Fiscal Year 2009","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Oregon","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","5051.0","2350.0","2701.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","440.0","206.0","234.0","-"
"25-34 years","1268.0","533.0","735.0","-"
"35-44 years","1478.0","738.0","740.0","-"
"45-54 years","858.0","393.0","465.0","-"
"55-64 years","589.0","281.0","308.0","-"
"65 years and over","418.0","199.0","219.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","891.0","501.0","390.0","-"
"Married","3563.0","1643.0","1920.0","-"
"Other","597.0","206.0","391.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","884.0","436.0","448.0","-"
"Service occupations","310.0","102.0","208.0","-"
"Sales and office occupations","200.0","62.0","138.0","-"
"Farming, fishing, and forestry occupations","11.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","73.0","D","D","-"
"Production, transportation, and material moving occupations","427.0","276.0","151.0","-"
"Military","19.0","16.0","3.0","-"
"No occupation/not working outside home","680.0","259.0","421.0","-"
"Homemakers","82.0","D","D","-"
"Students or children","475.0","193.0","282.0","-"
"Retirees","59.0","34.0","25.0","-"
"Unemployed","64.0","D","D","-"
"Unknown","2447.0","1120.0","1327.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Cambodia","57.0","24.0","33.0","-"
"Canada","115.0","53.0","62.0","-"
"China","384.0","167.0","217.0","-"
"El Salvador","58.0","34.0","24.0","-"
"Ethiopia","94.0","52.0","42.0","-"
"Germany","51.0","21.0","30.0","-"
"Guatemala","49.0","30.0","19.0","-"
"India","235.0","121.0","114.0","-"
"Iran","100.0","55.0","45.0","-"
"Korea, South","130.0","56.0","74.0","-"
"Laos","53.0","26.0","27.0","-"
"Mexico","1062.0","549.0","513.0","-"
"Philippines","208.0","60.0","148.0","-"
"Romania","101.0","44.0","57.0","-"
"Russia","219.0","86.0","133.0","-"
"Taiwan","53.0","16.0","37.0","-"
"Thailand","52.0","7.0","45.0","-"
"Ukraine","227.0","112.0","115.0","-"
"United Kingdom","121.0","58.0","63.0","-"
"Vietnam","414.0","160.0","254.0","-"
"Other","1264.0","617.0","647.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
