"Persons Naturalized During Fiscal Year 2009","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Puerto Rico","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1253.0","538.0","715.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","82.0","32.0","50.0","-"
"25-34 years","256.0","101.0","155.0","-"
"35-44 years","293.0","138.0","155.0","-"
"45-54 years","205.0","96.0","109.0","-"
"55-64 years","285.0","117.0","168.0","-"
"65 years and over","132.0","54.0","78.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","236.0","104.0","132.0","-"
"Married","705.0","334.0","371.0","-"
"Other","312.0","100.0","212.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","134.0","84.0","50.0","-"
"Service occupations","72.0","28.0","44.0","-"
"Sales and office occupations","60.0","23.0","37.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","15.0","D","D","-"
"Production, transportation, and material moving occupations","41.0","18.0","23.0","-"
"Military","13.0","D","D","-"
"No occupation/not working outside home","148.0","53.0","95.0","-"
"Homemakers","28.0","-","28.0","-"
"Students or children","72.0","29.0","43.0","-"
"Retirees","16.0","11.0","5.0","-"
"Unemployed","32.0","13.0","19.0","-"
"Unknown","770.0","307.0","463.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","21.0","13.0","8.0","-"
"Chile","7.0","D","D","-"
"China","29.0","12.0","17.0","-"
"Colombia","76.0","33.0","43.0","-"
"Costa Rica","14.0","4.0","10.0","-"
"Cuba","108.0","56.0","52.0","-"
"Dominican Republic","689.0","253.0","436.0","-"
"Ecuador","24.0","10.0","14.0","-"
"El Salvador","10.0","5.0","5.0","-"
"Germany","5.0","D","D","-"
"Honduras","10.0","7.0","3.0","-"
"Italy","6.0","D","D","-"
"Jordan","10.0","5.0","5.0","-"
"Mexico","30.0","14.0","16.0","-"
"Nicaragua","9.0","4.0","5.0","-"
"Panama","9.0","3.0","6.0","-"
"Peru","42.0","25.0","17.0","-"
"Spain","30.0","21.0","9.0","-"
"Venezuela","48.0","22.0","26.0","-"
"Vietnam","5.0","D","D","-"
"Other","68.0","37.0","31.0","-"
"Unknown","3.0","2.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
