"Persons Naturalized During Fiscal Year 2009","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: U.S. Armed Services Posts","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","432.0","259.0","173.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","146.0","114.0","32.0","-"
"25-34 years","211.0","121.0","90.0","-"
"35-44 years","61.0","D","D","-"
"45-54 years","11.0","D","D","-"
"55-64 years","D","D","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","166.0","146.0","20.0","-"
"Married","248.0","99.0","149.0","-"
"Other","18.0","14.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","17.0","6.0","11.0","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","8.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","6.0","6.0","-","-"
"Production, transportation, and material moving occupations","3.0","3.0","-","-"
"Military","214.0","177.0","37.0","-"
"No occupation/not working outside home","52.0","18.0","34.0","-"
"Homemakers","18.0","-","18.0","-"
"Students or children","31.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","3.0","D","D","-"
"Unknown","125.0","44.0","81.0","-"
"","","","",""
"Leading countries of birth","","","",""
"American Samoa","5.0","D","D","-"
"Brazil","6.0","D","D","-"
"China","13.0","7.0","6.0","-"
"Colombia","9.0","9.0","-","-"
"Cuba","6.0","D","D","-"
"Dominican Republic","10.0","D","D","-"
"El Salvador","7.0","7.0","-","-"
"Guatemala","6.0","D","D","-"
"Haiti","16.0","D","D","-"
"Jamaica","18.0","13.0","5.0","-"
"Korea, South","31.0","8.0","23.0","-"
"Mexico","49.0","40.0","9.0","-"
"Nicaragua","10.0","D","D","-"
"Nigeria","10.0","6.0","4.0","-"
"Peru","6.0","D","D","-"
"Philippines","57.0","25.0","32.0","-"
"Russia","6.0","3.0","3.0","-"
"Thailand","10.0","6.0","4.0","-"
"Trinidad and Tobago","6.0","D","D","-"
"Vietnam","7.0","D","D","-"
"Other","144.0","76.0","68.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
