"Persons Naturalized During Fiscal Year 2010","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Florida","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","67484.0","30479.0","37005.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","6089.0","2719.0","3370.0","-"
"25-34 years","16502.0","6983.0","9519.0","-"
"35-44 years","18889.0","8882.0","10007.0","-"
"45-54 years","12362.0","5831.0","6531.0","-"
"55-64 years","7101.0","3302.0","3799.0","-"
"65 years and over","6541.0","2762.0","3779.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","14290.0","7254.0","7036.0","-"
"Married","42426.0","19376.0","23050.0","-"
"Other","10767.0","3848.0","6919.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","15989.0","7791.0","8198.0","-"
"Service occupations","8146.0","2993.0","5153.0","-"
"Sales and office occupations","7581.0","2531.0","5050.0","-"
"Farming, fishing, and forestry occupations","127.0","102.0","25.0","-"
"Construction, extraction, maintenance and repair occupations","1575.0","1459.0","116.0","-"
"Production, transportation, and material moving occupations","8619.0","5310.0","3309.0","-"
"Military","129.0","95.0","34.0","-"
"No occupation/not working outside home","15085.0","5156.0","9929.0","-"
"Homemakers","2210.0","60.0","2150.0","-"
"Students or children","7066.0","2721.0","4345.0","-"
"Retirees","1368.0","697.0","671.0","-"
"Unemployed","4441.0","1678.0","2763.0","-"
"Unknown","10233.0","5042.0","5191.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","1134.0","566.0","568.0","-"
"Brazil","2212.0","852.0","1360.0","-"
"Canada","884.0","444.0","440.0","-"
"China","771.0","320.0","451.0","-"
"Colombia","8582.0","3602.0","4980.0","-"
"Cuba","11701.0","5538.0","6163.0","-"
"Dominican Republic","1699.0","760.0","939.0","-"
"Ecuador","941.0","386.0","555.0","-"
"Haiti","6002.0","3006.0","2996.0","-"
"Honduras","678.0","283.0","395.0","-"
"India","2123.0","1099.0","1024.0","-"
"Jamaica","3582.0","1512.0","2070.0","-"
"Mexico","1637.0","849.0","788.0","-"
"Nicaragua","1999.0","869.0","1130.0","-"
"Peru","2142.0","825.0","1317.0","-"
"Philippines","1512.0","499.0","1013.0","-"
"Trinidad and Tobago","820.0","348.0","472.0","-"
"United Kingdom","990.0","516.0","474.0","-"
"Venezuela","2596.0","1118.0","1478.0","-"
"Vietnam","802.0","273.0","529.0","-"
"Other","14650.0","6799.0","7851.0","-"
"Unknown","27.0","15.0","12.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
