"Persons Naturalized During Fiscal Year 2010","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Michigan","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","11162.0","5463.0","5698.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1210.0","568.0","642.0","-"
"25-34 years","2883.0","1233.0","1650.0","-"
"35-44 years","3503.0","1883.0","1619.0","1.0"
"45-54 years","1889.0","968.0","921.0","-"
"55-64 years","1010.0","518.0","492.0","-"
"65 years and over","667.0","293.0","374.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2089.0","1239.0","850.0","-"
"Married","8214.0","3926.0","4288.0","-"
"Other","853.0","295.0","558.0","-"
"Unknown","6.0","3.0","2.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","3425.0","2004.0","1421.0","-"
"Service occupations","1378.0","590.0","788.0","-"
"Sales and office occupations","922.0","379.0","543.0","-"
"Farming, fishing, and forestry occupations","24.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","148.0","135.0","13.0","-"
"Production, transportation, and material moving occupations","1177.0","804.0","373.0","-"
"Military","8.0","D","D","-"
"No occupation/not working outside home","3476.0","1150.0","2326.0","-"
"Homemakers","1034.0","17.0","1017.0","-"
"Students or children","1496.0","655.0","841.0","-"
"Retirees","209.0","121.0","88.0","-"
"Unemployed","737.0","357.0","380.0","-"
"Unknown","604.0","376.0","227.0","1.0"
"","","","",""
"Leading countries of birth","","","",""
"Albania","618.0","307.0","311.0","-"
"Bangladesh","375.0","182.0","193.0","-"
"Bosnia and Herzegovina","163.0","77.0","86.0","-"
"Canada","370.0","193.0","177.0","-"
"China","433.0","197.0","236.0","-"
"India","1768.0","920.0","848.0","-"
"Iraq","1080.0","530.0","549.0","1.0"
"Jordan","121.0","61.0","60.0","-"
"Korea, South","164.0","76.0","88.0","-"
"Lebanon","548.0","286.0","262.0","-"
"Mexico","487.0","247.0","240.0","-"
"Nigeria","157.0","79.0","78.0","-"
"Pakistan","281.0","135.0","146.0","-"
"Philippines","334.0","106.0","228.0","-"
"Poland","156.0","65.0","91.0","-"
"Romania","276.0","132.0","144.0","-"
"Serbia and Montenegro","223.0","104.0","119.0","-"
"United Kingdom","181.0","102.0","79.0","-"
"Vietnam","203.0","67.0","136.0","-"
"Yemen","306.0","191.0","115.0","-"
"Other","2902.0","1397.0","1505.0","-"
"Unknown","16.0","9.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
