"Persons Naturalized During Fiscal Year 2010","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Mississippi","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","967.0","470.0","497.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","99.0","52.0","47.0","-"
"25-34 years","241.0","109.0","132.0","-"
"35-44 years","306.0","152.0","154.0","-"
"45-54 years","200.0","102.0","98.0","-"
"55-64 years","74.0","31.0","43.0","-"
"65 years and over","47.0","24.0","23.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","188.0","111.0","77.0","-"
"Married","687.0","319.0","368.0","-"
"Other","92.0","40.0","52.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","280.0","167.0","113.0","-"
"Service occupations","143.0","48.0","95.0","-"
"Sales and office occupations","83.0","D","D","-"
"Farming, fishing, and forestry occupations","4.0","4.0","-","-"
"Construction, extraction, maintenance and repair occupations","29.0","29.0","-","-"
"Production, transportation, and material moving occupations","113.0","60.0","53.0","-"
"Military","10.0","D","D","-"
"No occupation/not working outside home","189.0","50.0","139.0","-"
"Homemakers","41.0","-","41.0","-"
"Students or children","94.0","35.0","59.0","-"
"Retirees","6.0","3.0","3.0","-"
"Unemployed","48.0","12.0","36.0","-"
"Unknown","116.0","64.0","52.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","11.0","6.0","5.0","-"
"Brazil","11.0","3.0","8.0","-"
"Canada","17.0","10.0","7.0","-"
"China","39.0","23.0","16.0","-"
"Colombia","26.0","12.0","14.0","-"
"Cuba","15.0","6.0","9.0","-"
"Honduras","12.0","5.0","7.0","-"
"India","147.0","81.0","66.0","-"
"Jamaica","23.0","3.0","20.0","-"
"Jordan","11.0","D","D","-"
"Korea, South","11.0","5.0","6.0","-"
"Mexico","113.0","60.0","53.0","-"
"Nigeria","16.0","10.0","6.0","-"
"Pakistan","21.0","13.0","8.0","-"
"Panama","11.0","6.0","5.0","-"
"Philippines","66.0","19.0","47.0","-"
"South Africa","13.0","7.0","6.0","-"
"United Kingdom","11.0","6.0","5.0","-"
"Vietnam","93.0","37.0","56.0","-"
"Yemen","11.0","D","D","-"
"Other","287.0","139.0","148.0","-"
"Unknown","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
