"Persons Naturalized During Fiscal Year 2010","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Oklahoma","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2678.0","1377.0","1301.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","362.0","201.0","161.0","-"
"25-34 years","929.0","479.0","450.0","-"
"35-44 years","722.0","360.0","362.0","-"
"45-54 years","384.0","192.0","192.0","-"
"55-64 years","168.0","85.0","83.0","-"
"65 years and over","113.0","60.0","53.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","594.0","397.0","197.0","-"
"Married","1824.0","866.0","958.0","-"
"Other","260.0","114.0","146.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","597.0","308.0","289.0","-"
"Service occupations","295.0","113.0","182.0","-"
"Sales and office occupations","247.0","101.0","146.0","-"
"Farming, fishing, and forestry occupations","7.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","70.0","D","D","-"
"Production, transportation, and material moving occupations","337.0","214.0","123.0","-"
"Military","70.0","56.0","14.0","-"
"No occupation/not working outside home","597.0","229.0","368.0","-"
"Homemakers","137.0","D","D","-"
"Students or children","349.0","173.0","176.0","-"
"Retirees","37.0","D","D","-"
"Unemployed","74.0","38.0","36.0","-"
"Unknown","458.0","288.0","170.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","33.0","19.0","14.0","-"
"Canada","36.0","18.0","18.0","-"
"China","100.0","41.0","59.0","-"
"Colombia","55.0","23.0","32.0","-"
"Ghana","40.0","32.0","8.0","-"
"India","222.0","121.0","101.0","-"
"Iran","73.0","41.0","32.0","-"
"Kenya","47.0","32.0","15.0","-"
"Korea, South","81.0","45.0","36.0","-"
"Mexico","518.0","292.0","226.0","-"
"Morocco","32.0","27.0","5.0","-"
"Nigeria","74.0","44.0","30.0","-"
"Pakistan","63.0","34.0","29.0","-"
"Peru","55.0","22.0","33.0","-"
"Philippines","130.0","45.0","85.0","-"
"Russia","36.0","13.0","23.0","-"
"Thailand","32.0","9.0","23.0","-"
"Ukraine","32.0","8.0","24.0","-"
"Venezuela","32.0","18.0","14.0","-"
"Vietnam","206.0","87.0","119.0","-"
"Other","778.0","405.0","373.0","-"
"Unknown","3.0","1.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
